Filename,Places,Transitions,ptarcs,tparcs,In_Degree,Out_Degree,Rules_set_Active,Tokens,Bonds,max_bond_arcs,Max_bond_degree,Mean_bond_degree,Sd_bond_degree,Tokens_Initial,Initial_Bonds,bonds_created,bonds_destroyed,Bond_Arcs,places_to_stop,Rules_x,bond_mode,Count,Execution Time (s),Conflicts,Choices,Restarts,Backjumps,Rules_y,Atoms,Models,Eliminated Vars,Horizon,Status,FailPhase,Mode,log_Rules,log_Conflicts,R1,R2,R3,R4,R5,R6,R7,R8,R9,R_total,Region
/RESULTS_simple/places_to_stop/10/r1_r2_r3_r4_r5_r6/no_bonds/token_types_20/randomPN_0.lp,10,11,12,15,1.5,1.2,"{'R1': 2, 'R2': 3, 'R3': 1, 'R4': 2, 'R5': 2, 'R6': 2, 'R7': 0, 'R8': 0, 'R9': 0}",20,0,0,2.0,2.0,0.0,20.0,0.0,0.0,0.0,2.0,10,r1_r2_r3_r4_r5_r6,no_bonds,20,0.034,152.0,1687.0,0.0,152.0,8301.0,4264.0,10.0,0.0,10,SAT,,Forward,3.9191304138606142,2.1818435879447726,2.0,3.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,12.0,Other
/RESULTS_simple/places_to_stop/10/r1_r2_r3_r4_r5_r6/no_bonds/token_types_20/randomPN_1.lp,10,11,11,11,1.1,1.1,"{'R1': 1, 'R2': 5, 'R3': 2, 'R4': 0, 'R5': 1, 'R6': 1, 'R7': 0, 'R8': 0, 'R9': 0}",20,0,0,2.0,2.0,0.0,20.0,0.0,0.0,0.0,2.0,10,r1_r2_r3_r4_r5_r6,no_bonds,20,0.027,56.0,528.0,0.0,55.0,6558.0,3517.0,10.0,0.0,10,SAT,,Forward,3.8167714123333463,1.7481880270062005,1.0,5.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,10.0,Easy
/RESULTS_simple/places_to_stop/10/r1_r2_r3_r4_r5_r6/no_bonds/token_types_20/randomPN_10.lp,10,10,10,16,1.6,1.0,"{'R1': 0, 'R2': 3, 'R3': 3, 'R4': 2, 'R5': 2, 'R6': 1, 'R7': 0, 'R8': 0, 'R9': 0}",20,0,0,2.0,2.0,0.0,20.0,0.0,0.0,0.0,4.0,10,r1_r2_r3_r4_r5_r6,no_bonds,20,0.025,66.0,263.0,0.0,56.0,6602.0,3659.0,10.0,0.0,10,SAT,,Forward,3.8196755199942927,1.8195439355418688,0.0,3.0,3.0,2.0,2.0,1.0,0.0,0.0,0.0,11.0,Easy
/RESULTS_simple/places_to_stop/10/r1_r2_r3_r4_r5_r6/no_bonds/token_types_20/randomPN_11.lp,10,14,15,15,1.5,1.5,"{'R1': 1, 'R2': 1, 'R3': 5, 'R4': 1, 'R5': 4, 'R6': 2, 'R7': 0, 'R8': 0, 'R9': 0}",20,0,0,2.0,2.0,0.0,20.0,0.0,0.0,0.0,2.0,10,r1_r2_r3_r4_r5_r6,no_bonds,20,0.03,48.0,233.0,0.0,48.0,7963.0,4116.0,10.0,0.0,10,SAT,,Forward,3.901076715726255,1.6812412373755872,1.0,1.0,5.0,1.0,4.0,2.0,0.0,0.0,0.0,14.0,Easy
/RESULTS_simple/places_to_stop/10/r1_r2_r3_r4_r5_r6/no_bonds/token_types_20/randomPN_12.lp,10,10,10,11,1.1,1.0,"{'R1': 2, 'R2': 3, 'R3': 2, 'R4': 1, 'R5': 1, 'R6': 1, 'R7': 0, 'R8': 0, 'R9': 0}",20,0,0,2.0,2.0,0.0,20.0,0.0,0.0,0.0,2.0,10,r1_r2_r3_r4_r5_r6,no_bonds,20,0.027,166.0,1597.0,0.0,165.0,5897.0,3174.0,10.0,0.0,10,SAT,,Forward,3.7706311277778064,2.220108088040055,2.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,10.0,Other
/RESULTS_simple/places_to_stop/10/r1_r2_r3_r4_r5_r6/no_bonds/token_types_20/randomPN_13.lp,10,8,8,10,1.0,0.8,"{'R1': 0, 'R2': 4, 'R3': 2, 'R4': 2, 'R5': 1, 'R6': 0, 'R7': 0, 'R8': 0, 'R9': 0}",20,0,0,2.0,2.0,0.0,20.0,0.0,0.0,0.0,2.0,10,r1_r2_r3_r4_r5_r6,no_bonds,20,0.022,83.0,472.0,0.0,83.0,5001.0,2804.0,6.0,0.0,10,SAT,,Forward,3.699056854547668,1.919078092376074,0.0,4.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,9.0,Easy
/RESULTS_simple/places_to_stop/10/r1_r2_r3_r4_r5_r6/no_bonds/token_types_20/randomPN_14.lp,10,13,13,15,1.5,1.3,"{'R1': 0, 'R2': 6, 'R3': 1, 'R4': 1, 'R5': 1, 'R6': 4, 'R7': 0, 'R8': 0, 'R9': 0}",20,0,0,2.0,2.0,0.0,20.0,0.0,0.0,0.0,4.0,10,r1_r2_r3_r4_r5_r6,no_bonds,20,0.029,121.0,715.0,0.0,121.0,7504.0,3950.0,10.0,0.0,10,SAT,,Forward,3.875292825371008,2.0827853703164503,0.0,6.0,1.0,1.0,1.0,4.0,0.0,0.0,0.0,13.0,Other
/RESULTS_simple/places_to_stop/10/r1_r2_r3_r4_r5_r6/no_bonds/token_types_20/randomPN_15.lp,10,12,12,16,1.6,1.2,"{'R1': 2, 'R2': 4, 'R3': 0, 'R4': 2, 'R5': 2, 'R6': 3, 'R7': 0, 'R8': 0, 'R9': 0}",20,0,0,2.0,2.0,0.0,20.0,0.0,0.0,0.0,2.0,10,r1_r2_r3_r4_r5_r6,no_bonds,20,0.03,205.0,1685.0,0.0,205.0,7150.0,3799.0,10.0,0.0,10,SAT,,Forward,3.8543060418010806,2.311753861055754,2.0,4.0,0.0,2.0,2.0,3.0,0.0,0.0,0.0,13.0,Other
/RESULTS_simple/places_to_stop/10/r1_r2_r3_r4_r5_r6/no_bonds/token_types_20/randomPN_16.lp,10,7,7,12,1.2,0.7,"{'R1': 2, 'R2': 2, 'R3': 1, 'R4': 3, 'R5': 1, 'R6': 0, 'R7': 0, 'R8': 0, 'R9': 0}",20,0,0,2.0,2.0,0.0,20.0,0.0,0.0,0.0,2.0,10,r1_r2_r3_r4_r5_r6,no_bonds,20,0.025,86.0,491.0,0.0,83.0,6009.0,3278.0,10.0,0.0,10,SAT,,Forward,3.7788022040132385,1.9344984512435677,2.0,2.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,9.0,Easy
/RESULTS_simple/places_to_stop/10/r1_r2_r3_r4_r5_r6/no_bonds/token_types_20/randomPN_17.lp,10,10,10,10,1.0,1.0,"{'R1': 3, 'R2': 2, 'R3': 3, 'R4': 0, 'R5': 0, 'R6': 1, 'R7': 0, 'R8': 0, 'R9': 0}",20,0,0,2.0,2.0,0.0,20.0,0.0,0.0,0.0,2.0,10,r1_r2_r3_r4_r5_r6,no_bonds,20,0.025,68.0,410.0,0.0,68.0,6074.0,3279.0,10.0,0.0,10,SAT,,Forward,3.7834747875822465,1.8325089127062364,3.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,Easy
/RESULTS_simple/places_to_stop/10/r1_r2_r3_r4_r5_r6/no_bonds/token_types_20/randomPN_18.lp,10,9,9,16,1.6,0.9,"{'R1': 3, 'R2': 1, 'R3': 1, 'R4': 3, 'R5': 3, 'R6': 0, 'R7': 0, 'R8': 0, 'R9': 0}",20,0,0,2.0,2.0,0.0,20.0,0.0,0.0,0.0,2.0,10,r1_r2_r3_r4_r5_r6,no_bonds,20,0.027,117.0,1247.0,0.0,117.0,6009.0,3283.0,10.0,0.0,10,SAT,,Forward,3.7788022040132385,2.0681858617461617,3.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,11.0,Other
/RESULTS_simple/places_to_stop/10/r1_r2_r3_r4_r5_r6/no_bonds/token_types_20/randomPN_19.lp,10,8,9,13,1.3,0.9,"{'R1': 1, 'R2': 2, 'R3': 2, 'R4': 3, 'R5': 2, 'R6': 0, 'R7': 0, 'R8': 0, 'R9': 0}",20,0,0,2.0,2.0,0.0,20.0,0.0,0.0,0.0,6.0,10,r1_r2_r3_r4_r5_r6,no_bonds,20,0.026,39.0,308.0,0.0,39.0,7322.0,4055.0,2.0,0.0,10,SAT,,Forward,3.8646297245455123,1.591064607026499,1.0,2.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,10.0,Easy
/RESULTS_simple/places_to_stop/10/r1_r2_r3_r4_r5_r6/no_bonds/token_types_20/randomPN_2.lp,10,16,16,19,1.9,1.6,"{'R1': 1, 'R2': 3, 'R3': 3, 'R4': 1, 'R5': 5, 'R6': 3, 'R7': 0, 'R8': 0, 'R9': 0}",20,0,0,2.0,2.0,0.0,20.0,0.0,0.0,0.0,2.0,10,r1_r2_r3_r4_r5_r6,no_bonds,20,0.025,50.0,678.0,0.0,50.0,5899.0,3164.0,10.0,0.0,10,SAT,,Forward,3.7707783961691477,1.6989700043360187,1.0,3.0,3.0,1.0,5.0,3.0,0.0,0.0,0.0,16.0,Easy
