Count,Filename,Execution Time (s),Conflicts,Choices,Restarts,Backjumps,Rules,Atoms,Models,Eliminated Vars,Horizon,Status,FailPhase
16,randomPN_0.lp,4.037,699.0,4042.0,2.0,693.0,1215816.0,52549.0,10.0,0.0,10,SAT,
16,randomPN_1.lp,4.056,1193.0,13400.0,5.0,1191.0,1113413.0,54119.0,10.0,0.0,10,SAT,
16,randomPN_10.lp,4.458,2324.0,21406.0,12.0,2324.0,1017882.0,53943.0,10.0,0.0,10,SAT,
16,randomPN_11.lp,2.918,853.0,6417.0,2.0,851.0,901462.0,47796.0,10.0,0.0,10,SAT,
16,randomPN_12.lp,3.111,1479.0,13571.0,5.0,1476.0,863215.0,47503.0,10.0,0.0,10,SAT,
16,randomPN_13.lp,3.604,1279.0,7924.0,5.0,1271.0,1054846.0,50520.0,10.0,0.0,10,SAT,
16,randomPN_14.lp,5.557,2056.0,14424.0,7.0,2040.0,1455219.0,63394.0,10.0,0.0,10,SAT,
16,randomPN_15.lp,2.855,806.0,5728.0,1.0,790.0,894201.0,45272.0,10.0,0.0,10,SAT,
16,randomPN_16.lp,4.334,1373.0,18274.0,6.0,1373.0,1189291.0,59991.0,10.0,0.0,10,SAT,
16,randomPN_17.lp,6.951,716.0,4386.0,1.0,705.0,1976010.0,73598.0,10.0,0.0,10,SAT,
16,randomPN_18.lp,4.527,2414.0,19732.0,11.0,2413.0,1111746.0,57227.0,10.0,0.0,10,SAT,
16,randomPN_19.lp,5.329,1156.0,9727.0,3.0,1152.0,1539473.0,64301.0,10.0,0.0,10,SAT,
16,randomPN_2.lp,3.052,1696.0,18824.0,6.0,1691.0,825598.0,45412.0,10.0,0.0,10,SAT,
16,randomPN_20.lp,3.732,2078.0,15261.0,10.0,2077.0,991952.0,53548.0,10.0,0.0,10,SAT,
16,randomPN_21.lp,4.484,780.0,8844.0,1.0,780.0,1388895.0,57775.0,10.0,0.0,10,SAT,
16,randomPN_22.lp,5.854,1711.0,20794.0,6.0,1711.0,1552405.0,60870.0,10.0,0.0,10,SAT,
16,randomPN_23.lp,8.306,1824.0,15411.0,6.0,1823.0,2213674.0,72861.0,10.0,0.0,10,SAT,
16,randomPN_24.lp,2.492,1624.0,14945.0,8.0,1622.0,720395.0,45569.0,10.0,0.0,10,SAT,
16,randomPN_25.lp,4.072,1335.0,10266.0,6.0,1308.0,1185691.0,56854.0,10.0,0.0,10,SAT,
16,randomPN_26.lp,4.912,2337.0,17147.0,10.0,2335.0,1368253.0,56642.0,10.0,0.0,10,SAT,
16,randomPN_27.lp,4.248,3131.0,22384.0,13.0,3131.0,1062091.0,51744.0,10.0,0.0,10,SAT,
16,randomPN_28.lp,3.634,1527.0,12290.0,7.0,1526.0,1009328.0,50334.0,10.0,0.0,10,SAT,
16,randomPN_29.lp,2.329,1786.0,16941.0,8.0,1786.0,588629.0,39868.0,10.0,0.0,10,SAT,
16,randomPN_3.lp,5.626,1651.0,14900.0,8.0,1651.0,1390201.0,55467.0,10.0,0.0,10,SAT,
16,randomPN_30.lp,6.926,3917.0,16109.0,15.0,3917.0,1608969.0,67737.0,10.0,0.0,10,SAT,
16,randomPN_31.lp,4.812,1470.0,17043.0,6.0,1470.0,1344524.0,58297.0,10.0,0.0,10,SAT,
16,randomPN_32.lp,6.971,1392.0,10476.0,7.0,1390.0,1958788.0,75920.0,10.0,0.0,10,SAT,
16,randomPN_33.lp,2.451,687.0,4174.0,2.0,672.0,749165.0,40673.0,10.0,0.0,10,SAT,
16,randomPN_34.lp,5.296,1064.0,10882.0,2.0,1059.0,1441240.0,62185.0,10.0,0.0,10,SAT,
16,randomPN_35.lp,4.409,2597.0,16343.0,11.0,2595.0,1227960.0,55192.0,10.0,0.0,10,SAT,
16,randomPN_36.lp,2.955,1469.0,13977.0,6.0,1458.0,824800.0,49058.0,10.0,0.0,10,SAT,
16,randomPN_37.lp,5.925,2020.0,20069.0,8.0,2013.0,1356465.0,58882.0,10.0,0.0,10,SAT,
16,randomPN_38.lp,7.146,4249.0,30476.0,19.0,4249.0,1526610.0,63345.0,10.0,0.0,10,SAT,
16,randomPN_39.lp,4.207,1801.0,15847.0,6.0,1800.0,1040053.0,54078.0,10.0,0.0,10,SAT,
16,randomPN_4.lp,3.901,922.0,6887.0,4.0,920.0,1103833.0,53545.0,10.0,0.0,10,SAT,
16,randomPN_40.lp,4.707,2274.0,15427.0,10.0,2271.0,1337338.0,58570.0,10.0,0.0,10,SAT,
16,randomPN_41.lp,5.446,1660.0,15714.0,5.0,1656.0,1336750.0,59169.0,10.0,0.0,10,SAT,
16,randomPN_42.lp,7.307,1955.0,13477.0,7.0,1954.0,1920004.0,69273.0,10.0,0.0,10,SAT,
16,randomPN_43.lp,3.718,582.0,2462.0,0.0,571.0,1191312.0,52144.0,10.0,0.0,10,SAT,
16,randomPN_44.lp,3.846,1686.0,16849.0,8.0,1686.0,956670.0,51272.0,10.0,0.0,10,SAT,
