Count,Filename,Execution Time (s),Conflicts,Choices,Restarts,Backjumps,Rules,Atoms,Models,Eliminated Vars,Horizon,Status,FailPhase
16,randomPN_0.lp,3.946,1785.0,9772.0,8.0,1784.0,1151556.0,71966.0,10.0,0.0,10,SAT,
16,randomPN_1.lp,3.581,1817.0,12330.0,8.0,1814.0,1123389.0,64714.0,10.0,0.0,10,SAT,
16,randomPN_10.lp,4.832,735.0,4136.0,1.0,735.0,1570271.0,77529.0,10.0,0.0,10,SAT,
16,randomPN_11.lp,3.783,1158.0,5855.0,5.0,1157.0,1154652.0,67762.0,10.0,0.0,10,SAT,
16,randomPN_12.lp,3.201,846.0,5422.0,4.0,846.0,1059845.0,64185.0,10.0,0.0,10,SAT,
16,randomPN_13.lp,3.846,1116.0,7783.0,4.0,1115.0,1194188.0,68538.0,10.0,0.0,10,SAT,
16,randomPN_14.lp,3.239,516.0,3565.0,0.0,513.0,1067578.0,59776.0,10.0,0.0,10,SAT,
16,randomPN_15.lp,3.955,1042.0,5415.0,4.0,1040.0,1297571.0,67632.0,10.0,0.0,10,SAT,
16,randomPN_16.lp,3.512,1557.0,8163.0,7.0,1557.0,1104624.0,62777.0,10.0,0.0,10,SAT,
16,randomPN_17.lp,2.835,388.0,2063.0,0.0,382.0,958856.0,57367.0,10.0,0.0,10,SAT,
16,randomPN_18.lp,3.526,1639.0,9155.0,7.0,1630.0,1106204.0,65076.0,10.0,0.0,10,SAT,
16,randomPN_19.lp,4.116,442.0,2810.0,0.0,437.0,1298372.0,69955.0,10.0,0.0,10,SAT,
16,randomPN_2.lp,4.088,1278.0,6986.0,4.0,1273.0,1281196.0,69324.0,10.0,0.0,10,SAT,
16,randomPN_20.lp,5.732,549.0,3785.0,1.0,543.0,1877345.0,86439.0,10.0,0.0,10,SAT,
16,randomPN_21.lp,5.002,1707.0,8362.0,4.0,1700.0,1670652.0,79220.0,10.0,0.0,10,SAT,
16,randomPN_22.lp,4.253,2270.0,16901.0,9.0,2265.0,1291200.0,75443.0,10.0,0.0,10,SAT,
16,randomPN_23.lp,3.185,997.0,6851.0,5.0,997.0,999219.0,58826.0,10.0,0.0,10,SAT,
16,randomPN_24.lp,5.317,2246.0,12486.0,9.0,2238.0,1611893.0,80825.0,10.0,0.0,10,SAT,
16,randomPN_25.lp,3.493,780.0,4974.0,3.0,778.0,1151877.0,63028.0,10.0,0.0,10,SAT,
16,randomPN_26.lp,3.026,696.0,3576.0,1.0,687.0,1006162.0,62235.0,10.0,0.0,10,SAT,
16,randomPN_27.lp,4.718,1019.0,6257.0,4.0,1019.0,1511244.0,73886.0,10.0,0.0,10,SAT,
16,randomPN_28.lp,4.223,1166.0,7249.0,5.0,1166.0,1234067.0,70863.0,10.0,0.0,10,SAT,
16,randomPN_29.lp,2.843,1782.0,10138.0,9.0,1782.0,883520.0,56541.0,10.0,0.0,10,SAT,
16,randomPN_3.lp,2.984,1541.0,7506.0,6.0,1541.0,923778.0,57460.0,10.0,0.0,10,SAT,
16,randomPN_30.lp,3.726,1127.0,5215.0,3.0,1126.0,1234352.0,65618.0,10.0,0.0,10,SAT,
16,randomPN_31.lp,3.765,1252.0,8746.0,5.0,1249.0,1171611.0,71511.0,10.0,0.0,10,SAT,
16,randomPN_32.lp,3.704,1633.0,11711.0,6.0,1624.0,1141203.0,65201.0,10.0,0.0,10,SAT,
16,randomPN_33.lp,3.438,501.0,4197.0,1.0,498.0,1116100.0,63994.0,10.0,0.0,10,SAT,
16,randomPN_34.lp,3.997,629.0,3248.0,2.0,626.0,1291942.0,66683.0,10.0,0.0,10,SAT,
16,randomPN_35.lp,3.113,1934.0,11241.0,10.0,1928.0,944630.0,59944.0,10.0,0.0,10,SAT,
16,randomPN_36.lp,3.459,757.0,4158.0,2.0,757.0,1120700.0,66070.0,10.0,0.0,10,SAT,
16,randomPN_37.lp,4.07,2120.0,19140.0,10.0,2120.0,1194668.0,68958.0,10.0,0.0,10,SAT,
16,randomPN_38.lp,5.581,709.0,5328.0,2.0,702.0,1860238.0,83459.0,10.0,0.0,10,SAT,
16,randomPN_39.lp,3.108,774.0,4917.0,2.0,773.0,969994.0,58301.0,10.0,0.0,10,SAT,
16,randomPN_4.lp,3.756,1677.0,13938.0,6.0,1668.0,1105657.0,65139.0,10.0,0.0,10,SAT,
