Count,Filename,Execution Time (s),Conflicts,Choices,Restarts,Backjumps,Rules,Atoms,Models,Eliminated Vars,Horizon,Status,FailPhase
22,randomPN_0.lp,3.583,1393.0,9170.0,6.0,1390.0,1076569.0,69208.0,10.0,0.0,10,SAT,
22,randomPN_1.lp,3.143,1755.0,8020.0,8.0,1753.0,1006818.0,64756.0,10.0,0.0,10,SAT,
22,randomPN_10.lp,3.717,577.0,3445.0,0.0,577.0,1186340.0,69261.0,10.0,0.0,10,SAT,
22,randomPN_11.lp,3.351,1591.0,12763.0,6.0,1591.0,1037125.0,65065.0,10.0,0.0,10,SAT,
22,randomPN_12.lp,4.077,1599.0,6270.0,6.0,1598.0,1308354.0,76033.0,10.0,0.0,10,SAT,
22,randomPN_13.lp,3.218,901.0,4347.0,2.0,888.0,1041271.0,66995.0,10.0,0.0,10,SAT,
22,randomPN_14.lp,6.168,1180.0,9985.0,2.0,1171.0,1878493.0,96631.0,10.0,0.0,10,SAT,
22,randomPN_15.lp,3.258,1142.0,7111.0,4.0,1142.0,1072043.0,69070.0,10.0,0.0,10,SAT,
22,randomPN_16.lp,4.971,615.0,5023.0,2.0,614.0,1583564.0,81469.0,10.0,0.0,10,SAT,
22,randomPN_17.lp,3.883,1479.0,9545.0,7.0,1479.0,1239993.0,74886.0,10.0,0.0,10,SAT,
22,randomPN_18.lp,3.666,1945.0,8362.0,8.0,1938.0,1088418.0,76959.0,10.0,0.0,10,SAT,
22,randomPN_19.lp,3.12,1210.0,5111.0,5.0,1202.0,986745.0,62398.0,10.0,0.0,10,SAT,
22,randomPN_2.lp,4.742,943.0,7238.0,3.0,941.0,1565773.0,77446.0,10.0,0.0,10,SAT,
22,randomPN_20.lp,3.215,1719.0,10346.0,7.0,1713.0,955478.0,64630.0,10.0,0.0,10,SAT,
22,randomPN_21.lp,4.408,893.0,4112.0,3.0,893.0,1486153.0,76042.0,10.0,0.0,10,SAT,
22,randomPN_22.lp,3.856,1581.0,17086.0,6.0,1570.0,1170816.0,74225.0,10.0,0.0,10,SAT,
22,randomPN_23.lp,4.781,1228.0,7867.0,4.0,1228.0,1450291.0,80496.0,10.0,0.0,10,SAT,
22,randomPN_24.lp,4.092,1630.0,7753.0,5.0,1626.0,1341543.0,75800.0,10.0,0.0,10,SAT,
22,randomPN_25.lp,3.438,1747.0,11725.0,7.0,1742.0,1093564.0,71963.0,10.0,0.0,10,SAT,
22,randomPN_26.lp,4.561,1714.0,16008.0,7.0,1714.0,1378890.0,77343.0,10.0,0.0,10,SAT,
22,randomPN_27.lp,3.524,1395.0,14966.0,6.0,1394.0,1079292.0,68731.0,10.0,0.0,10,SAT,
22,randomPN_28.lp,4.034,812.0,7978.0,2.0,812.0,1277771.0,73590.0,10.0,0.0,10,SAT,
22,randomPN_29.lp,4.874,745.0,4548.0,1.0,743.0,1640007.0,83331.0,10.0,0.0,10,SAT,
22,randomPN_3.lp,3.582,1998.0,11899.0,6.0,1995.0,1083493.0,72496.0,10.0,0.0,10,SAT,
22,randomPN_30.lp,4.727,1898.0,11724.0,8.0,1898.0,1424180.0,81818.0,10.0,0.0,10,SAT,
22,randomPN_31.lp,4.794,835.0,4081.0,2.0,827.0,1615187.0,83570.0,10.0,0.0,10,SAT,
22,randomPN_32.lp,4.72,923.0,6679.0,4.0,920.0,1509806.0,80442.0,10.0,0.0,10,SAT,
22,randomPN_33.lp,4.27,1090.0,9194.0,5.0,1088.0,1321790.0,78242.0,10.0,0.0,10,SAT,
22,randomPN_34.lp,2.908,1342.0,7206.0,6.0,1342.0,923118.0,60521.0,10.0,0.0,10,SAT,
22,randomPN_35.lp,4.128,1221.0,8670.0,6.0,1220.0,1262861.0,75990.0,10.0,0.0,10,SAT,
22,randomPN_36.lp,4.155,1095.0,5939.0,2.0,1092.0,1248548.0,76032.0,10.0,0.0,10,SAT,
22,randomPN_37.lp,4.63,687.0,4739.0,2.0,687.0,1486870.0,83321.0,10.0,0.0,10,SAT,
22,randomPN_38.lp,4.542,1467.0,12047.0,7.0,1463.0,1372812.0,83330.0,10.0,0.0,10,SAT,
22,randomPN_39.lp,5.369,835.0,5704.0,2.0,833.0,1723463.0,86695.0,10.0,0.0,10,SAT,
22,randomPN_4.lp,4.121,1956.0,17293.0,8.0,1956.0,1253751.0,76699.0,10.0,0.0,10,SAT,
22,randomPN_40.lp,4.441,2198.0,26092.0,8.0,2198.0,1293770.0,81300.0,10.0,0.0,10,SAT,
22,randomPN_41.lp,3.829,1416.0,11004.0,5.0,1416.0,1208980.0,70603.0,10.0,0.0,10,SAT,
22,randomPN_42.lp,4.211,1170.0,10093.0,4.0,1149.0,1334390.0,80416.0,10.0,0.0,10,SAT,
22,randomPN_43.lp,3.19,1374.0,14513.0,7.0,1373.0,955256.0,64452.0,10.0,0.0,10,SAT,
22,randomPN_44.lp,3.835,1695.0,10104.0,8.0,1692.0,1191284.0,72373.0,10.0,0.0,10,SAT,
22,randomPN_45.lp,3.411,1237.0,6088.0,4.0,1234.0,1108965.0,72378.0,10.0,0.0,10,SAT,
22,randomPN_46.lp,3.191,1660.0,12806.0,7.0,1659.0,1011390.0,65002.0,10.0,0.0,10,SAT,
22,randomPN_47.lp,3.763,1695.0,10214.0,7.0,1693.0,1150054.0,71335.0,10.0,0.0,10,SAT,
22,randomPN_48.lp,4.874,1967.0,13185.0,9.0,1961.0,1491471.0,84261.0,10.0,0.0,10,SAT,
22,randomPN_49.lp,4.503,849.0,5691.0,2.0,847.0,1491921.0,80972.0,10.0,0.0,10,SAT,
22,randomPN_5.lp,4.423,577.0,4391.0,1.0,570.0,1458879.0,77841.0,10.0,0.0,10,SAT,
22,randomPN_6.lp,4.438,1425.0,12194.0,5.0,1422.0,1358400.0,82748.0,10.0,0.0,10,SAT,
22,randomPN_7.lp,3.566,739.0,4416.0,1.0,729.0,1150149.0,68451.0,10.0,0.0,10,SAT,
22,randomPN_8.lp,3.828,1408.0,7714.0,4.0,1407.0,1249044.0,71449.0,10.0,0.0,10,SAT,
22,randomPN_9.lp,3.299,1427.0,9665.0,5.0,1425.0,1060993.0,64949.0,10.0,0.0,10,SAT,
