Count,Filename,Execution Time (s),Conflicts,Choices,Restarts,Backjumps,Rules,Atoms,Models,Eliminated Vars,Horizon,Status,FailPhase
24,randomPN_0.lp,2.013,2504.0,22784.0,11.0,2502.0,640897.0,56787.0,10.0,0.0,10,SAT,
24,randomPN_1.lp,2.387,1713.0,23766.0,6.0,1708.0,665299.0,57734.0,10.0,0.0,10,SAT,
24,randomPN_10.lp,2.174,5487.0,25299.0,14.0,5487.0,641110.0,56735.0,10.0,0.0,10,SAT,
24,randomPN_11.lp,3.077,1858.0,15552.0,5.0,1856.0,877671.0,62379.0,10.0,0.0,10,SAT,
24,randomPN_12.lp,2.363,2642.0,23395.0,13.0,2641.0,668278.0,57514.0,10.0,0.0,10,SAT,
24,randomPN_13.lp,2.443,2185.0,16875.0,10.0,2184.0,732573.0,59103.0,10.0,0.0,10,SAT,
24,randomPN_14.lp,2.48,3574.0,38674.0,15.0,3573.0,705515.0,58456.0,10.0,0.0,10,SAT,
24,randomPN_15.lp,2.226,1158.0,13226.0,5.0,1156.0,733375.0,58909.0,10.0,0.0,10,SAT,
24,randomPN_16.lp,2.017,2246.0,17846.0,7.0,2244.0,652663.0,57246.0,10.0,0.0,10,SAT,
24,randomPN_17.lp,2.127,1826.0,15655.0,8.0,1825.0,673270.0,57820.0,10.0,0.0,10,SAT,
24,randomPN_18.lp,2.841,4197.0,46007.0,20.0,4197.0,684570.0,57822.0,10.0,0.0,10,SAT,
24,randomPN_19.lp,2.406,2610.0,35601.0,12.0,2610.0,676633.0,57966.0,10.0,0.0,10,SAT,
24,randomPN_2.lp,2.341,2718.0,29233.0,13.0,2718.0,732197.0,59268.0,10.0,0.0,10,SAT,
24,randomPN_20.lp,2.32,1929.0,14427.0,10.0,1929.0,732822.0,59136.0,10.0,0.0,10,SAT,
24,randomPN_21.lp,2.133,1781.0,17583.0,7.0,1779.0,674198.0,57819.0,10.0,0.0,10,SAT,
24,randomPN_22.lp,2.468,1799.0,17004.0,8.0,1796.0,722510.0,58660.0,10.0,0.0,10,SAT,
24,randomPN_23.lp,2.248,1844.0,16989.0,7.0,1844.0,631878.0,56862.0,10.0,0.0,10,SAT,
24,randomPN_24.lp,2.54,3426.0,30425.0,15.0,3426.0,637689.0,57029.0,10.0,0.0,10,SAT,
24,randomPN_25.lp,3.027,1860.0,16820.0,7.0,1860.0,805387.0,60782.0,10.0,0.0,10,SAT,
24,randomPN_26.lp,2.424,2567.0,31346.0,11.0,2566.0,688321.0,58252.0,10.0,0.0,10,SAT,
24,randomPN_27.lp,2.235,1681.0,27265.0,6.0,1681.0,673649.0,57957.0,10.0,0.0,10,SAT,
24,randomPN_28.lp,2.435,3086.0,18395.0,8.0,3080.0,792245.0,60426.0,10.0,0.0,10,SAT,
24,randomPN_29.lp,2.548,2380.0,16551.0,9.0,2375.0,749435.0,59565.0,10.0,0.0,10,SAT,
24,randomPN_3.lp,2.666,2843.0,72885.0,13.0,2843.0,611849.0,56529.0,10.0,0.0,10,SAT,
24,randomPN_30.lp,2.885,3238.0,48505.0,13.0,3238.0,682239.0,57712.0,10.0,0.0,10,SAT,
24,randomPN_31.lp,3.005,2417.0,18925.0,10.0,2415.0,807627.0,60736.0,10.0,0.0,10,SAT,
24,randomPN_32.lp,2.975,2380.0,21569.0,9.0,2375.0,812238.0,60994.0,10.0,0.0,10,SAT,
24,randomPN_33.lp,2.652,7483.0,30098.0,16.0,7483.0,752137.0,59192.0,10.0,0.0,10,SAT,
24,randomPN_34.lp,3.185,2891.0,45359.0,15.0,2889.0,792739.0,60260.0,10.0,0.0,10,SAT,
24,randomPN_35.lp,2.866,2611.0,10649.0,5.0,2611.0,787751.0,60094.0,10.0,0.0,10,SAT,
24,randomPN_36.lp,1.924,1817.0,12738.0,9.0,1817.0,615055.0,56350.0,10.0,0.0,10,SAT,
24,randomPN_37.lp,2.587,1602.0,11262.0,6.0,1601.0,795709.0,60882.0,10.0,0.0,10,SAT,
24,randomPN_38.lp,2.016,2227.0,16482.0,9.0,2226.0,604997.0,56321.0,10.0,0.0,10,SAT,
24,randomPN_39.lp,2.299,3173.0,25024.0,12.0,3173.0,650529.0,57060.0,10.0,0.0,10,SAT,
24,randomPN_4.lp,2.325,2895.0,21617.0,12.0,2894.0,674012.0,57419.0,10.0,0.0,10,SAT,
24,randomPN_40.lp,2.115,2902.0,20235.0,10.0,2902.0,643686.0,56905.0,10.0,0.0,10,SAT,
24,randomPN_41.lp,2.107,1877.0,12506.0,5.0,1870.0,699236.0,58150.0,10.0,0.0,10,SAT,
24,randomPN_42.lp,2.548,5585.0,40618.0,15.0,5585.0,703588.0,58890.0,10.0,0.0,10,SAT,
24,randomPN_43.lp,2.111,2872.0,6356.0,8.0,2867.0,658646.0,57053.0,10.0,0.0,10,SAT,
24,randomPN_44.lp,2.144,1961.0,18968.0,8.0,1958.0,651629.0,57514.0,10.0,0.0,10,SAT,
24,randomPN_45.lp,2.244,1409.0,15113.0,7.0,1409.0,678047.0,58018.0,10.0,0.0,10,SAT,
24,randomPN_46.lp,2.098,814.0,12364.0,2.0,812.0,637828.0,57157.0,10.0,0.0,10,SAT,
24,randomPN_47.lp,2.529,3272.0,29913.0,13.0,3271.0,700600.0,58312.0,10.0,0.0,10,SAT,
24,randomPN_48.lp,2.937,1579.0,13078.0,9.0,1576.0,846952.0,61488.0,10.0,0.0,10,SAT,
24,randomPN_49.lp,2.097,1700.0,36415.0,9.0,1700.0,586046.0,55893.0,10.0,0.0,10,SAT,
24,randomPN_5.lp,2.129,2589.0,16456.0,12.0,2587.0,685175.0,57990.0,10.0,0.0,10,SAT,
24,randomPN_6.lp,2.219,2163.0,27204.0,7.0,2163.0,668357.0,57601.0,10.0,0.0,10,SAT,
24,randomPN_7.lp,2.166,4362.0,23438.0,12.0,4362.0,660078.0,57216.0,10.0,0.0,10,SAT,
24,randomPN_8.lp,2.314,2183.0,11068.0,9.0,2182.0,701710.0,58277.0,10.0,0.0,10,SAT,
24,randomPN_9.lp,2.073,2017.0,16855.0,11.0,2015.0,638971.0,56787.0,10.0,0.0,10,SAT,
