Count,Filename,Execution Time (s),Conflicts,Choices,Restarts,Backjumps,Rules,Atoms,Models,Eliminated Vars,Horizon,Status,FailPhase
4,randomPN_0.lp,14.446,0.0,0.0,0.0,0.0,7097135.0,180363.0,1.0,0.0,10,SAT,
4,randomPN_1.lp,23.087,374.0,1578.0,0.0,372.0,7079364.0,199740.0,10.0,0.0,10,SAT,
4,randomPN_10.lp,30.137,311.0,2525.0,0.0,294.0,8664270.0,229623.0,10.0,0.0,10,SAT,
4,randomPN_11.lp,21.537,136.0,179.0,0.0,126.0,6767945.0,183332.0,10.0,0.0,10,SAT,
4,randomPN_12.lp,18.786,154.0,1226.0,0.0,153.0,6085628.0,164946.0,10.0,0.0,10,SAT,
4,randomPN_13.lp,22.597,359.0,2134.0,0.0,355.0,7300760.0,180912.0,10.0,0.0,10,SAT,
4,randomPN_14.lp,23.665,254.0,859.0,0.0,251.0,8594149.0,186214.0,10.0,0.0,10,SAT,
4,randomPN_15.lp,23.224,210.0,550.0,0.0,208.0,6740058.0,182355.0,10.0,0.0,10,SAT,
4,randomPN_16.lp,20.114,313.0,1296.0,0.0,313.0,6315644.0,177888.0,10.0,0.0,10,SAT,
4,randomPN_17.lp,24.437,109.0,534.0,0.0,107.0,7052058.0,197727.0,7.0,0.0,10,SAT,
4,randomPN_18.lp,27.698,255.0,788.0,0.0,255.0,8522927.0,203529.0,10.0,0.0,10,SAT,
4,randomPN_19.lp,19.665,592.0,2312.0,1.0,583.0,5882998.0,172460.0,10.0,0.0,10,SAT,
4,randomPN_2.lp,19.946,201.0,481.0,0.0,194.0,5931801.0,169585.0,10.0,0.0,10,SAT,
4,randomPN_20.lp,25.12,444.0,2973.0,1.0,444.0,7474180.0,206598.0,10.0,0.0,10,SAT,
4,randomPN_21.lp,24.771,119.0,396.0,0.0,118.0,7694015.0,195590.0,10.0,0.0,10,SAT,
4,randomPN_22.lp,12.111,0.0,0.0,0.0,0.0,6368486.0,167892.0,1.0,0.0,10,SAT,
4,randomPN_23.lp,19.209,124.0,559.0,0.0,124.0,6507651.0,162304.0,10.0,0.0,10,SAT,
4,randomPN_24.lp,24.409,375.0,977.0,1.0,375.0,7368070.0,191172.0,10.0,0.0,10,SAT,
4,randomPN_25.lp,26.145,317.0,1355.0,0.0,314.0,7774896.0,210620.0,10.0,0.0,10,SAT,
4,randomPN_26.lp,22.993,425.0,1326.0,1.0,424.0,6882447.0,195941.0,10.0,0.0,10,SAT,
4,randomPN_27.lp,19.013,0.0,0.0,0.0,0.0,6689570.0,181874.0,1.0,0.0,10,SAT,
4,randomPN_28.lp,22.381,0.0,0.0,0.0,0.0,7373500.0,201795.0,1.0,0.0,10,SAT,
4,randomPN_29.lp,23.594,303.0,803.0,0.0,303.0,7434688.0,186622.0,10.0,0.0,10,SAT,
4,randomPN_3.lp,24.816,249.0,519.0,0.0,249.0,7361574.0,198613.0,10.0,0.0,10,SAT,
4,randomPN_30.lp,20.738,334.0,1962.0,0.0,332.0,6640219.0,178659.0,10.0,0.0,10,SAT,
4,randomPN_31.lp,11.612,0.0,0.0,0.0,0.0,5877950.0,161024.0,1.0,0.0,10,SAT,
4,randomPN_32.lp,13.295,0.0,0.0,0.0,0.0,6842977.0,185701.0,1.0,0.0,10,SAT,
4,randomPN_33.lp,16.423,0.0,0.0,0.0,0.0,6122654.0,164328.0,1.0,0.0,10,SAT,
4,randomPN_34.lp,25.986,236.0,964.0,0.0,236.0,7885520.0,204246.0,10.0,0.0,10,SAT,
4,randomPN_35.lp,20.595,402.0,1996.0,1.0,401.0,6214980.0,178152.0,10.0,0.0,10,SAT,
4,randomPN_36.lp,17.68,0.0,0.0,0.0,0.0,8659648.0,218804.0,1.0,0.0,10,SAT,
4,randomPN_37.lp,20.617,336.0,1077.0,1.0,328.0,6663626.0,172810.0,10.0,0.0,10,SAT,
4,randomPN_38.lp,21.86,253.0,1300.0,0.0,248.0,6810082.0,186203.0,10.0,0.0,10,SAT,
4,randomPN_39.lp,20.963,202.0,1077.0,1.0,201.0,6461698.0,182391.0,10.0,0.0,10,SAT,
4,randomPN_4.lp,21.167,0.0,0.0,0.0,0.0,7370791.0,198728.0,1.0,0.0,10,SAT,
4,randomPN_40.lp,21.554,170.0,718.0,0.0,163.0,6776881.0,180322.0,7.0,0.0,10,SAT,
4,randomPN_41.lp,15.961,0.0,0.0,0.0,0.0,7570370.0,200585.0,1.0,0.0,10,SAT,
4,randomPN_42.lp,25.856,481.0,2261.0,1.0,477.0,7488813.0,206237.0,10.0,0.0,10,SAT,
4,randomPN_43.lp,26.249,308.0,1113.0,0.0,307.0,7947284.0,205599.0,10.0,0.0,10,SAT,
4,randomPN_44.lp,20.354,125.0,536.0,0.0,125.0,6590182.0,176246.0,10.0,0.0,10,SAT,
4,randomPN_45.lp,27.288,170.0,454.0,0.0,168.0,8404814.0,215389.0,7.0,0.0,10,SAT,
4,randomPN_46.lp,15.889,0.0,0.0,0.0,0.0,7602955.0,212162.0,1.0,0.0,10,SAT,
4,randomPN_47.lp,18.628,213.0,1039.0,0.0,210.0,5793182.0,163715.0,10.0,0.0,10,SAT,
4,randomPN_48.lp,25.243,359.0,1229.0,0.0,356.0,7950809.0,199809.0,10.0,0.0,10,SAT,
4,randomPN_49.lp,22.849,430.0,3355.0,1.0,422.0,6909611.0,196973.0,10.0,0.0,10,SAT,
4,randomPN_5.lp,16.114,0.0,0.0,0.0,0.0,8018406.0,196739.0,1.0,0.0,10,SAT,
4,randomPN_6.lp,22.521,576.0,1625.0,1.0,572.0,6858547.0,194946.0,10.0,0.0,10,SAT,
4,randomPN_7.lp,20.733,286.0,737.0,0.0,284.0,6602689.0,175765.0,10.0,0.0,10,SAT,
4,randomPN_8.lp,21.994,0.0,0.0,0.0,0.0,7413868.0,195342.0,1.0,0.0,10,SAT,
4,randomPN_9.lp,28.361,100.0,450.0,0.0,100.0,8327295.0,221390.0,10.0,0.0,10,SAT,
