Count,Filename,Execution Time (s),Conflicts,Choices,Restarts,Backjumps,Rules,Atoms,Models,Eliminated Vars,Horizon,Status,FailPhase
4,randomPN_0.lp,7.899,937.0,5324.0,2.0,937.0,2292874.0,99212.0,10.0,0.0,10,SAT,
4,randomPN_1.lp,8.331,772.0,3892.0,1.0,770.0,2423328.0,102420.0,10.0,0.0,10,SAT,
4,randomPN_10.lp,7.921,558.0,1719.0,1.0,555.0,2311597.0,99966.0,10.0,0.0,10,SAT,
4,randomPN_11.lp,7.897,675.0,4498.0,2.0,674.0,2288823.0,99438.0,10.0,0.0,10,SAT,
4,randomPN_12.lp,8.949,490.0,2318.0,1.0,489.0,2702840.0,109084.0,10.0,0.0,10,SAT,
4,randomPN_13.lp,8.025,621.0,4027.0,2.0,620.0,2367513.0,101308.0,10.0,0.0,10,SAT,
4,randomPN_14.lp,8.099,661.0,3973.0,2.0,661.0,2388189.0,101742.0,10.0,0.0,10,SAT,
4,randomPN_15.lp,9.144,818.0,5899.0,2.0,818.0,2661319.0,107756.0,10.0,0.0,10,SAT,
4,randomPN_16.lp,9.408,594.0,4361.0,1.0,594.0,2684080.0,108238.0,10.0,0.0,10,SAT,
4,randomPN_17.lp,8.292,593.0,3336.0,1.0,591.0,2466819.0,103520.0,10.0,0.0,10,SAT,
4,randomPN_18.lp,8.625,925.0,7075.0,3.0,922.0,2564031.0,105500.0,10.0,0.0,10,SAT,
4,randomPN_19.lp,7.835,450.0,1795.0,0.0,443.0,2336303.0,100174.0,10.0,0.0,10,SAT,
4,randomPN_2.lp,7.983,661.0,3935.0,1.0,660.0,2425388.0,102468.0,10.0,0.0,10,SAT,
4,randomPN_20.lp,7.851,1144.0,5631.0,3.0,1132.0,2373558.0,100992.0,10.0,0.0,10,SAT,
4,randomPN_21.lp,7.876,1312.0,10850.0,4.0,1311.0,2342619.0,100548.0,10.0,0.0,10,SAT,
4,randomPN_22.lp,7.733,604.0,2896.0,2.0,604.0,2350916.0,100832.0,10.0,0.0,10,SAT,
4,randomPN_23.lp,8.522,571.0,4617.0,1.0,568.0,2541304.0,105110.0,10.0,0.0,10,SAT,
4,randomPN_24.lp,8.087,675.0,3648.0,1.0,673.0,2288762.0,99254.0,10.0,0.0,10,SAT,
4,randomPN_25.lp,8.163,772.0,3752.0,2.0,771.0,2340534.0,100500.0,10.0,0.0,10,SAT,
4,randomPN_26.lp,8.389,465.0,1808.0,1.0,464.0,2551624.0,105304.0,10.0,0.0,10,SAT,
4,randomPN_27.lp,8.073,492.0,2797.0,1.0,492.0,2381879.0,101322.0,10.0,0.0,10,SAT,
4,randomPN_28.lp,8.592,641.0,3626.0,1.0,641.0,2572393.0,105922.0,10.0,0.0,10,SAT,
4,randomPN_29.lp,8.071,540.0,2520.0,1.0,536.0,2404668.0,101896.0,10.0,0.0,10,SAT,
4,randomPN_3.lp,8.665,770.0,4415.0,1.0,770.0,2495745.0,104008.0,10.0,0.0,10,SAT,
4,randomPN_30.lp,8.3,615.0,4588.0,1.0,611.0,2537193.0,105106.0,10.0,0.0,10,SAT,
4,randomPN_31.lp,9.217,404.0,1545.0,0.0,399.0,2789735.0,110962.0,10.0,0.0,10,SAT,
4,randomPN_32.lp,8.43,582.0,2964.0,2.0,581.0,2512401.0,104668.0,10.0,0.0,10,SAT,
4,randomPN_33.lp,7.905,928.0,6300.0,3.0,923.0,2305351.0,99684.0,10.0,0.0,10,SAT,
4,randomPN_34.lp,8.597,875.0,5814.0,2.0,871.0,2460658.0,103468.0,10.0,0.0,10,SAT,
4,randomPN_35.lp,8.216,1190.0,8122.0,5.0,1185.0,2363354.0,101166.0,10.0,0.0,10,SAT,
4,randomPN_36.lp,9.36,1537.0,8816.0,7.0,1534.0,2771102.0,110484.0,10.0,0.0,10,SAT,
4,randomPN_37.lp,9.237,711.0,4303.0,1.0,706.0,2773157.0,110532.0,10.0,0.0,10,SAT,
4,randomPN_38.lp,7.981,967.0,5502.0,4.0,963.0,2350802.0,100510.0,10.0,0.0,10,SAT,
4,randomPN_39.lp,8.03,1119.0,5678.0,5.0,1119.0,2332175.0,100078.0,10.0,0.0,10,SAT,
4,randomPN_4.lp,7.915,791.0,3421.0,1.0,789.0,2313567.0,99738.0,10.0,0.0,10,SAT,
4,randomPN_40.lp,8.359,1412.0,7257.0,5.0,1411.0,2508140.0,104158.0,10.0,0.0,10,SAT,
4,randomPN_41.lp,7.533,1053.0,7776.0,3.0,1053.0,2290889.0,99440.0,10.0,0.0,10,SAT,
4,randomPN_42.lp,8.101,489.0,2400.0,1.0,486.0,2408837.0,102130.0,10.0,0.0,10,SAT,
4,randomPN_43.lp,8.075,1252.0,7647.0,4.0,1251.0,2404748.0,102080.0,10.0,0.0,10,SAT,
4,randomPN_44.lp,8.038,1023.0,5656.0,4.0,1023.0,2334233.0,100080.0,10.0,0.0,10,SAT,
4,randomPN_45.lp,9.283,706.0,3716.0,1.0,705.0,2669623.0,108040.0,10.0,0.0,10,SAT,
4,randomPN_46.lp,9.0,388.0,2755.0,1.0,387.0,2586840.0,106212.0,10.0,0.0,10,SAT,
4,randomPN_47.lp,8.085,574.0,2727.0,2.0,570.0,2462712.0,103516.0,10.0,0.0,10,SAT,
4,randomPN_48.lp,8.341,723.0,4304.0,1.0,723.0,2508141.0,104250.0,10.0,0.0,10,SAT,
4,randomPN_49.lp,9.601,1119.0,6960.0,2.0,1119.0,2860058.0,112364.0,10.0,0.0,10,SAT,
4,randomPN_5.lp,7.907,1506.0,11399.0,6.0,1506.0,2309470.0,99734.0,10.0,0.0,10,SAT,
4,randomPN_6.lp,8.549,582.0,2828.0,1.0,582.0,2543387.0,105250.0,10.0,0.0,10,SAT,
