Count,Filename,Execution Time (s),Conflicts,Choices,Restarts,Backjumps,Rules,Atoms,Models,Eliminated Vars,Horizon,Status,FailPhase
20,randomPN_0.lp,11.457,1403.0,10586.0,5.0,1402.0,3002012.0,119799.0,10.0,0.0,10,SAT,
20,randomPN_1.lp,12.196,1623.0,16363.0,6.0,1623.0,3278970.0,140062.0,10.0,0.0,10,SAT,
20,randomPN_10.lp,11.216,2288.0,29116.0,10.0,2287.0,2442192.0,118151.0,10.0,0.0,10,SAT,
20,randomPN_11.lp,11.95,1334.0,10925.0,5.0,1325.0,2991891.0,124256.0,10.0,0.0,10,SAT,
20,randomPN_12.lp,11.199,1488.0,9342.0,7.0,1488.0,3140713.0,126444.0,10.0,0.0,10,SAT,
20,randomPN_13.lp,12.963,2641.0,17882.0,10.0,2641.0,3244904.0,128949.0,10.0,0.0,10,SAT,
20,randomPN_14.lp,11.588,1980.0,19264.0,6.0,1978.0,2923084.0,118986.0,10.0,0.0,10,SAT,
20,randomPN_15.lp,13.929,1213.0,9090.0,3.0,1209.0,3623653.0,136005.0,10.0,0.0,10,SAT,
20,randomPN_16.lp,14.79,3750.0,21002.0,12.0,3749.0,3776199.0,137030.0,10.0,0.0,10,SAT,
20,randomPN_17.lp,9.596,2866.0,26635.0,11.0,2866.0,2415236.0,117601.0,10.0,0.0,10,SAT,
20,randomPN_18.lp,14.227,1248.0,14527.0,3.0,1248.0,3661366.0,134788.0,10.0,0.0,10,SAT,
20,randomPN_19.lp,11.099,3222.0,26574.0,11.0,3221.0,2809212.0,120764.0,10.0,0.0,10,SAT,
20,randomPN_2.lp,10.562,1980.0,28292.0,6.0,1976.0,2495473.0,114473.0,10.0,0.0,10,SAT,
20,randomPN_20.lp,12.403,1436.0,10005.0,3.0,1435.0,3180002.0,126183.0,10.0,0.0,10,SAT,
20,randomPN_21.lp,16.468,1769.0,16687.0,7.0,1757.0,4078984.0,146830.0,10.0,0.0,10,SAT,
20,randomPN_22.lp,13.403,1737.0,18670.0,7.0,1731.0,3401509.0,138435.0,10.0,0.0,10,SAT,
20,randomPN_23.lp,10.226,1734.0,12441.0,7.0,1734.0,2727458.0,113689.0,10.0,0.0,10,SAT,
20,randomPN_24.lp,18.147,2945.0,24697.0,14.0,2945.0,4252825.0,164238.0,10.0,0.0,10,SAT,
