Count,Filename,Execution Time (s),Conflicts,Choices,Restarts,Backjumps,Rules,Atoms,Models,Eliminated Vars,Horizon,Status,FailPhase
14,randomPN_0.lp,0.03,207.0,1595.0,0.0,204.0,6272.0,3365.0,10.0,0.0,10,SAT,
14,randomPN_1.lp,0.027,115.0,316.0,0.0,114.0,5533.0,3022.0,6.0,0.0,10,SAT,
14,randomPN_10.lp,0.031,164.0,1678.0,0.0,161.0,6486.0,3344.0,10.0,0.0,10,SAT,
14,randomPN_11.lp,0.031,105.0,844.0,0.0,100.0,6445.0,3397.0,10.0,0.0,10,SAT,
14,randomPN_12.lp,0.031,132.0,392.0,0.0,95.0,7280.0,3937.0,10.0,0.0,10,SAT,
14,randomPN_13.lp,0.027,50.0,546.0,0.0,50.0,5658.0,3135.0,10.0,0.0,10,SAT,
14,randomPN_14.lp,0.028,41.0,169.0,0.0,19.0,7087.0,3873.0,3.0,0.0,10,SAT,
14,randomPN_15.lp,0.039,83.0,597.0,0.0,78.0,8483.0,4968.0,6.0,0.0,10,SAT,
14,randomPN_16.lp,0.024,100.0,701.0,0.0,74.0,5261.0,2828.0,10.0,0.0,10,SAT,
14,randomPN_17.lp,0.029,99.0,610.0,0.0,98.0,6106.0,3217.0,10.0,0.0,10,SAT,
14,randomPN_18.lp,0.031,157.0,592.0,0.0,145.0,7640.0,4214.0,10.0,0.0,10,SAT,
14,randomPN_19.lp,0.024,71.0,257.0,0.0,41.0,4591.0,2377.0,8.0,0.0,10,SAT,
14,randomPN_2.lp,0.031,185.0,622.0,0.0,167.0,6263.0,3624.0,10.0,0.0,10,SAT,
14,randomPN_20.lp,0.03,101.0,1210.0,0.0,99.0,6341.0,3395.0,10.0,0.0,10,SAT,
14,randomPN_21.lp,0.026,21.0,132.0,0.0,2.0,6052.0,3502.0,2.0,0.0,10,SAT,
14,randomPN_22.lp,0.034,29.0,157.0,0.0,10.0,9608.0,5247.0,2.0,0.0,10,SAT,
14,randomPN_23.lp,0.026,133.0,396.0,0.0,100.0,5158.0,2903.0,10.0,0.0,10,SAT,
14,randomPN_24.lp,0.049,312.0,1614.0,0.0,296.0,11125.0,6272.0,10.0,0.0,10,SAT,
14,randomPN_25.lp,0.025,27.0,190.0,0.0,10.0,5670.0,3033.0,2.0,0.0,10,SAT,
14,randomPN_26.lp,0.033,77.0,611.0,0.0,65.0,7927.0,4389.0,10.0,0.0,10,SAT,
14,randomPN_27.lp,0.028,121.0,1647.0,0.0,110.0,5478.0,2872.0,10.0,0.0,10,SAT,
14,randomPN_28.lp,0.032,94.0,488.0,0.0,78.0,7437.0,4215.0,10.0,0.0,10,SAT,
14,randomPN_29.lp,0.029,107.0,814.0,0.0,103.0,5545.0,2914.0,10.0,0.0,10,SAT,
14,randomPN_3.lp,0.035,114.0,1279.0,0.0,103.0,6947.0,3689.0,10.0,0.0,10,SAT,
14,randomPN_30.lp,0.031,92.0,251.0,0.0,64.0,5477.0,2874.0,5.0,0.0,10,SAT,
14,randomPN_31.lp,0.025,116.0,677.0,0.0,115.0,4955.0,2825.0,10.0,0.0,10,SAT,
14,randomPN_32.lp,0.034,136.0,986.0,0.0,134.0,8293.0,4476.0,10.0,0.0,10,SAT,
14,randomPN_33.lp,0.026,60.0,521.0,0.0,57.0,5468.0,2873.0,10.0,0.0,10,SAT,
14,randomPN_34.lp,0.031,97.0,897.0,0.0,85.0,7052.0,3765.0,10.0,0.0,10,SAT,
14,randomPN_35.lp,0.019,0.0,0.0,0.0,0.0,5026.0,2730.0,1.0,0.0,10,SAT,
14,randomPN_36.lp,0.027,93.0,538.0,0.0,80.0,5767.0,3350.0,10.0,0.0,10,SAT,
14,randomPN_37.lp,0.03,176.0,919.0,0.0,168.0,6073.0,3457.0,10.0,0.0,10,SAT,
14,randomPN_38.lp,0.029,85.0,945.0,0.0,85.0,5990.0,3116.0,10.0,0.0,10,SAT,
14,randomPN_39.lp,0.03,120.0,472.0,0.0,68.0,6001.0,3137.0,8.0,0.0,10,SAT,
