Count,Filename,Execution Time (s),Conflicts,Choices,Restarts,Backjumps,Rules,Atoms,Models,Eliminated Vars,Horizon,Status,FailPhase
16,randomPN_0.lp,0.047,213.0,1153.0,1.0,203.0,12242.0,6041.0,10.0,0.0,10,SAT,
16,randomPN_1.lp,0.038,98.0,906.0,0.0,97.0,10667.0,5451.0,10.0,0.0,10,SAT,
16,randomPN_10.lp,0.041,91.0,1029.0,0.0,87.0,10223.0,5112.0,10.0,0.0,10,SAT,
16,randomPN_11.lp,0.042,102.0,1596.0,0.0,100.0,10755.0,5281.0,10.0,0.0,10,SAT,
16,randomPN_12.lp,0.047,102.0,1314.0,0.0,100.0,11928.0,5741.0,10.0,0.0,10,SAT,
16,randomPN_13.lp,0.041,102.0,900.0,0.0,101.0,11664.0,5874.0,10.0,0.0,10,SAT,
16,randomPN_14.lp,0.047,134.0,1563.0,0.0,133.0,12653.0,6283.0,10.0,0.0,10,SAT,
16,randomPN_15.lp,0.041,99.0,559.0,0.0,76.0,10780.0,5356.0,10.0,0.0,10,SAT,
16,randomPN_16.lp,0.049,96.0,272.0,0.0,66.0,12799.0,6461.0,5.0,0.0,10,SAT,
16,randomPN_17.lp,0.04,120.0,1005.0,0.0,117.0,10521.0,5128.0,10.0,0.0,10,SAT,
16,randomPN_18.lp,0.037,141.0,957.0,0.0,139.0,10239.0,5276.0,10.0,0.0,10,SAT,
16,randomPN_19.lp,0.046,99.0,1454.0,0.0,97.0,11908.0,5782.0,10.0,0.0,10,SAT,
16,randomPN_2.lp,0.039,151.0,1363.0,0.0,149.0,10272.0,5141.0,10.0,0.0,10,SAT,
16,randomPN_20.lp,0.041,119.0,1252.0,0.0,117.0,10858.0,5485.0,10.0,0.0,10,SAT,
16,randomPN_21.lp,0.037,64.0,230.0,0.0,34.0,10613.0,5595.0,4.0,0.0,10,SAT,
16,randomPN_22.lp,0.042,80.0,235.0,0.0,53.0,10630.0,5395.0,6.0,0.0,10,SAT,
16,randomPN_23.lp,0.046,285.0,1837.0,0.0,281.0,11414.0,5521.0,10.0,0.0,10,SAT,
16,randomPN_24.lp,0.039,104.0,677.0,0.0,75.0,10699.0,5307.0,10.0,0.0,10,SAT,
16,randomPN_25.lp,0.043,135.0,1146.0,0.0,121.0,11603.0,5685.0,10.0,0.0,10,SAT,
16,randomPN_26.lp,0.041,100.0,854.0,0.0,97.0,11127.0,5517.0,10.0,0.0,10,SAT,
16,randomPN_27.lp,0.047,79.0,1288.0,0.0,75.0,13003.0,6408.0,10.0,0.0,10,SAT,
16,randomPN_28.lp,0.043,122.0,2033.0,0.0,114.0,11509.0,5651.0,10.0,0.0,10,SAT,
16,randomPN_29.lp,0.039,86.0,741.0,0.0,85.0,10726.0,5381.0,10.0,0.0,10,SAT,
16,randomPN_3.lp,0.036,110.0,1042.0,0.0,110.0,9947.0,5080.0,10.0,0.0,10,SAT,
