Count,Filename,Execution Time (s),Conflicts,Choices,Restarts,Backjumps,Rules,Atoms,Models,Eliminated Vars,Horizon,Status,FailPhase
6,randomPN_0.lp,0.107,161.0,701.0,0.0,142.0,24944.0,13060.0,10.0,0.0,10,SAT,
6,randomPN_1.lp,0.157,166.0,1332.0,0.0,160.0,24416.0,12906.0,10.0,0.0,10,SAT,
6,randomPN_10.lp,0.214,398.0,2796.0,1.0,398.0,30159.0,15086.0,10.0,0.0,10,SAT,
6,randomPN_11.lp,0.142,205.0,1880.0,1.0,202.0,29936.0,14936.0,10.0,0.0,10,SAT,
6,randomPN_12.lp,0.13,177.0,2577.0,0.0,176.0,30100.0,15863.0,10.0,0.0,10,SAT,
6,randomPN_13.lp,0.121,29.0,83.0,0.0,12.0,30732.0,15733.0,3.0,0.0,10,SAT,
6,randomPN_14.lp,0.12,188.0,1048.0,1.0,183.0,27453.0,13809.0,10.0,0.0,10,SAT,
6,randomPN_15.lp,0.135,221.0,792.0,0.0,218.0,32396.0,16196.0,10.0,0.0,10,SAT,
6,randomPN_16.lp,0.201,155.0,1006.0,0.0,154.0,29607.0,14638.0,10.0,0.0,10,SAT,
6,randomPN_17.lp,0.117,77.0,470.0,0.0,73.0,25196.0,12307.0,10.0,0.0,10,SAT,
6,randomPN_18.lp,0.16,419.0,4864.0,1.0,419.0,32066.0,15413.0,10.0,0.0,10,SAT,
6,randomPN_19.lp,0.13,205.0,1468.0,0.0,201.0,29105.0,13824.0,10.0,0.0,10,SAT,
6,randomPN_2.lp,0.101,140.0,557.0,0.0,126.0,24817.0,12264.0,10.0,0.0,10,SAT,
6,randomPN_20.lp,0.101,135.0,680.0,0.0,130.0,25518.0,13368.0,10.0,0.0,10,SAT,
6,randomPN_21.lp,0.13,330.0,3308.0,1.0,328.0,26842.0,14059.0,10.0,0.0,10,SAT,
6,randomPN_22.lp,0.102,140.0,1104.0,0.0,140.0,28203.0,14182.0,10.0,0.0,10,SAT,
6,randomPN_23.lp,0.163,222.0,2349.0,0.0,218.0,32903.0,16263.0,10.0,0.0,10,SAT,
6,randomPN_24.lp,0.135,85.0,849.0,0.0,84.0,31258.0,15719.0,10.0,0.0,10,SAT,
6,randomPN_25.lp,0.123,109.0,722.0,0.0,106.0,27018.0,13052.0,10.0,0.0,10,SAT,
6,randomPN_26.lp,0.116,163.0,1393.0,0.0,163.0,31106.0,15013.0,10.0,0.0,10,SAT,
6,randomPN_27.lp,0.145,347.0,2997.0,1.0,345.0,30861.0,15579.0,10.0,0.0,10,SAT,
6,randomPN_28.lp,0.161,120.0,1714.0,1.0,118.0,31648.0,15523.0,10.0,0.0,10,SAT,
6,randomPN_29.lp,0.127,220.0,1396.0,0.0,216.0,26807.0,12995.0,10.0,0.0,10,SAT,
6,randomPN_3.lp,0.114,173.0,895.0,1.0,169.0,24519.0,12707.0,10.0,0.0,10,SAT,
6,randomPN_30.lp,0.185,166.0,1586.0,0.0,155.0,29771.0,15034.0,10.0,0.0,10,SAT,
6,randomPN_31.lp,0.122,170.0,971.0,1.0,170.0,25694.0,12542.0,10.0,0.0,10,SAT,
6,randomPN_32.lp,0.121,85.0,440.0,0.0,84.0,26388.0,13574.0,10.0,0.0,10,SAT,
6,randomPN_33.lp,0.134,205.0,975.0,1.0,204.0,27182.0,13339.0,10.0,0.0,10,SAT,
6,randomPN_34.lp,0.116,53.0,639.0,0.0,44.0,26254.0,13668.0,10.0,0.0,10,SAT,
6,randomPN_35.lp,0.122,256.0,1356.0,0.0,251.0,24744.0,12749.0,10.0,0.0,10,SAT,
6,randomPN_36.lp,0.177,28.0,92.0,0.0,8.0,28343.0,14023.0,1.0,0.0,10,SAT,
6,randomPN_37.lp,0.211,111.0,879.0,0.0,105.0,29991.0,15060.0,10.0,0.0,10,SAT,
6,randomPN_38.lp,0.087,31.0,133.0,0.0,28.0,23881.0,12146.0,2.0,0.0,10,SAT,
6,randomPN_39.lp,0.149,135.0,1110.0,0.0,125.0,31035.0,14878.0,10.0,0.0,10,SAT,
6,randomPN_4.lp,0.145,214.0,2099.0,1.0,214.0,32679.0,16399.0,10.0,0.0,10,SAT,
6,randomPN_40.lp,0.177,110.0,691.0,0.0,108.0,26971.0,13686.0,10.0,0.0,10,SAT,
6,randomPN_41.lp,0.145,169.0,1697.0,0.0,159.0,31808.0,16111.0,10.0,0.0,10,SAT,
6,randomPN_42.lp,0.225,256.0,2545.0,1.0,253.0,32682.0,17018.0,10.0,0.0,10,SAT,
6,randomPN_43.lp,0.117,91.0,483.0,0.0,88.0,30449.0,15693.0,10.0,0.0,10,SAT,
6,randomPN_44.lp,0.146,369.0,2262.0,1.0,358.0,27302.0,13270.0,10.0,0.0,10,SAT,
6,randomPN_45.lp,0.172,449.0,4651.0,1.0,447.0,34240.0,16840.0,10.0,0.0,10,SAT,
6,randomPN_46.lp,0.149,122.0,1415.0,0.0,120.0,27427.0,13779.0,10.0,0.0,10,SAT,
6,randomPN_47.lp,0.124,307.0,2210.0,0.0,301.0,26216.0,13247.0,10.0,0.0,10,SAT,
6,randomPN_48.lp,0.105,158.0,631.0,0.0,141.0,26670.0,13778.0,10.0,0.0,10,SAT,
6,randomPN_49.lp,0.177,68.0,354.0,0.0,68.0,28016.0,13452.0,10.0,0.0,10,SAT,
6,randomPN_5.lp,0.143,277.0,2404.0,0.0,277.0,30584.0,15345.0,10.0,0.0,10,SAT,
6,randomPN_6.lp,0.215,457.0,3442.0,0.0,457.0,31529.0,15893.0,10.0,0.0,10,SAT,
6,randomPN_7.lp,0.142,116.0,742.0,0.0,115.0,31998.0,16142.0,10.0,0.0,10,SAT,
6,randomPN_8.lp,0.117,241.0,1391.0,0.0,236.0,25516.0,13015.0,10.0,0.0,10,SAT,
6,randomPN_9.lp,0.103,88.0,1732.0,0.0,86.0,24086.0,12113.0,10.0,0.0,10,SAT,
