Count,Filename,Execution Time (s),Conflicts,Choices,Restarts,Backjumps,Rules,Atoms,Models,Eliminated Vars,Horizon,Status,FailPhase
2,randomPN_0.lp,0.116,127.0,386.0,1.0,80.0,27445.0,13165.0,9.0,0.0,10,SAT,
2,randomPN_1.lp,0.117,22.0,335.0,0.0,22.0,25448.0,12747.0,1.0,0.0,10,SAT,
2,randomPN_10.lp,0.173,2.0,181.0,0.0,2.0,25743.0,12653.0,1.0,0.0,10,SAT,
2,randomPN_11.lp,0.203,115.0,481.0,0.0,113.0,30447.0,14676.0,8.0,0.0,10,SAT,
2,randomPN_12.lp,0.113,11.0,37.0,0.0,11.0,26835.0,12912.0,1.0,0.0,10,SAT,
2,randomPN_13.lp,0.118,48.0,149.0,0.0,48.0,26162.0,12640.0,10.0,0.0,10,SAT,
2,randomPN_14.lp,0.11,11.0,27.0,0.0,3.0,23977.0,11604.0,1.0,0.0,10,SAT,
2,randomPN_15.lp,0.134,71.0,569.0,0.0,66.0,26827.0,12989.0,10.0,0.0,10,SAT,
2,randomPN_16.lp,0.139,59.0,335.0,0.0,52.0,30864.0,14961.0,10.0,0.0,10,SAT,
2,randomPN_17.lp,0.183,131.0,1922.0,0.0,126.0,24923.0,12117.0,1.0,0.0,10,SAT,
2,randomPN_18.lp,0.16,81.0,427.0,0.0,70.0,33051.0,15557.0,10.0,0.0,10,SAT,
2,randomPN_19.lp,0.143,3.0,505.0,0.0,2.0,30626.0,14884.0,1.0,0.0,10,SAT,
2,randomPN_2.lp,0.11,309.0,602.0,2.0,267.0,26305.0,12697.0,10.0,0.0,10,SAT,
2,randomPN_20.lp,0.144,101.0,346.0,0.0,52.0,21964.0,10630.0,1.0,0.0,10,SAT,
2,randomPN_21.lp,0.139,140.0,957.0,0.0,139.0,22237.0,10994.0,10.0,0.0,10,SAT,
2,randomPN_22.lp,0.116,0.0,0.0,0.0,0.0,31277.0,14483.0,1.0,0.0,10,SAT,
2,randomPN_23.lp,0.21,74.0,1067.0,0.0,61.0,27168.0,13134.0,3.0,0.0,10,SAT,
2,randomPN_24.lp,0.097,0.0,0.0,0.0,0.0,22991.0,11586.0,1.0,0.0,10,SAT,
2,randomPN_25.lp,0.137,42.0,211.0,0.0,8.0,30409.0,14588.0,1.0,0.0,10,SAT,
2,randomPN_26.lp,0.1,0.0,0.0,0.0,0.0,24616.0,12045.0,1.0,0.0,10,SAT,
2,randomPN_27.lp,0.207,282.0,1161.0,0.0,256.0,30672.0,14525.0,10.0,0.0,10,SAT,
2,randomPN_28.lp,0.09,191.0,664.0,0.0,187.0,23968.0,11484.0,9.0,0.0,10,SAT,
2,randomPN_29.lp,0.163,290.0,1633.0,0.0,270.0,27438.0,13280.0,10.0,0.0,10,SAT,
2,randomPN_3.lp,0.108,49.0,334.0,0.0,44.0,26918.0,12459.0,3.0,0.0,10,SAT,
2,randomPN_30.lp,0.148,89.0,223.0,0.0,39.0,23538.0,11746.0,3.0,0.0,10,SAT,
2,randomPN_31.lp,0.148,0.0,0.0,0.0,0.0,23705.0,11673.0,1.0,0.0,10,SAT,
2,randomPN_32.lp,0.14,153.0,1016.0,0.0,145.0,28569.0,13712.0,10.0,0.0,10,SAT,
2,randomPN_33.lp,0.155,0.0,0.0,0.0,0.0,24038.0,11871.0,1.0,0.0,10,SAT,
2,randomPN_34.lp,0.108,35.0,42.0,0.0,35.0,25107.0,12135.0,10.0,0.0,10,SAT,
2,randomPN_35.lp,0.167,44.0,890.0,0.0,40.0,32687.0,15360.0,10.0,0.0,10,SAT,
2,randomPN_36.lp,0.183,70.0,114.0,0.0,51.0,26252.0,12524.0,3.0,0.0,10,SAT,
2,randomPN_37.lp,0.12,36.0,123.0,0.0,16.0,28029.0,13487.0,2.0,0.0,10,SAT,
2,randomPN_38.lp,0.185,53.0,351.0,0.0,51.0,30037.0,14375.0,10.0,0.0,10,SAT,
2,randomPN_39.lp,0.115,81.0,445.0,0.0,76.0,26853.0,12819.0,10.0,0.0,10,SAT,
2,randomPN_4.lp,0.138,106.0,224.0,0.0,102.0,26473.0,12603.0,8.0,0.0,10,SAT,
2,randomPN_40.lp,0.151,131.0,3189.0,1.0,125.0,30468.0,14426.0,10.0,0.0,10,SAT,
2,randomPN_41.lp,0.109,642.0,1420.0,0.0,589.0,22947.0,11008.0,10.0,0.0,10,SAT,
2,randomPN_42.lp,0.132,21.0,119.0,0.0,19.0,31112.0,14444.0,1.0,0.0,10,SAT,
2,randomPN_43.lp,0.1,85.0,666.0,0.0,77.0,24139.0,11387.0,10.0,0.0,10,SAT,
2,randomPN_44.lp,0.15,0.0,0.0,0.0,0.0,24898.0,11948.0,1.0,0.0,10,SAT,
2,randomPN_45.lp,0.184,84.0,404.0,0.0,81.0,26489.0,12996.0,10.0,0.0,10,SAT,
2,randomPN_46.lp,0.117,0.0,0.0,0.0,0.0,29544.0,14025.0,1.0,0.0,10,SAT,
2,randomPN_47.lp,0.094,0.0,0.0,0.0,0.0,23069.0,11152.0,1.0,0.0,10,SAT,
2,randomPN_48.lp,0.169,187.0,1509.0,0.0,173.0,33916.0,15985.0,6.0,0.0,10,SAT,
2,randomPN_49.lp,0.125,27.0,105.0,0.0,5.0,28374.0,13677.0,1.0,0.0,10,SAT,
2,randomPN_5.lp,0.177,194.0,843.0,0.0,193.0,36327.0,17231.0,10.0,0.0,10,SAT,
2,randomPN_6.lp,0.152,0.0,0.0,0.0,0.0,24225.0,11775.0,1.0,0.0,10,SAT,
2,randomPN_7.lp,0.119,234.0,514.0,0.0,212.0,27307.0,12948.0,10.0,0.0,10,SAT,
2,randomPN_8.lp,0.119,126.0,840.0,0.0,113.0,22756.0,11466.0,10.0,0.0,10,SAT,
2,randomPN_9.lp,0.149,244.0,1394.0,1.0,221.0,29594.0,14382.0,10.0,0.0,10,SAT,
