Count,Filename,Execution Time (s),Conflicts,Choices,Restarts,Backjumps,Rules,Atoms,Models,Eliminated Vars,Horizon,Status,FailPhase
10,randomPN_0.lp,0.104,102.0,525.0,1.0,102.0,23423.0,11353.0,10.0,0.0,10,SAT,
10,randomPN_1.lp,0.104,0.0,0.0,0.0,0.0,27438.0,13117.0,1.0,0.0,10,SAT,
10,randomPN_10.lp,0.071,26.0,73.0,0.0,6.0,23060.0,11448.0,2.0,0.0,10,SAT,
10,randomPN_11.lp,0.097,138.0,372.0,0.0,104.0,21416.0,10385.0,10.0,0.0,10,SAT,
10,randomPN_12.lp,0.101,95.0,198.0,0.0,83.0,28237.0,13368.0,10.0,0.0,10,SAT,
10,randomPN_13.lp,0.1,193.0,797.0,0.0,186.0,25912.0,12205.0,10.0,0.0,10,SAT,
10,randomPN_14.lp,0.081,0.0,0.0,0.0,0.0,25564.0,12546.0,1.0,0.0,10,SAT,
10,randomPN_15.lp,0.083,110.0,392.0,0.0,106.0,21957.0,10690.0,10.0,0.0,10,SAT,
10,randomPN_16.lp,0.083,22.0,68.0,0.0,2.0,23105.0,11409.0,2.0,0.0,10,SAT,
10,randomPN_17.lp,0.109,35.0,228.0,0.0,27.0,29270.0,13913.0,8.0,0.0,10,SAT,
10,randomPN_18.lp,0.155,66.0,553.0,0.0,66.0,25948.0,12582.0,10.0,0.0,10,SAT,
10,randomPN_19.lp,0.094,82.0,515.0,0.0,80.0,25383.0,12160.0,10.0,0.0,10,SAT,
10,randomPN_2.lp,0.089,36.0,84.0,0.0,28.0,26898.0,13093.0,10.0,0.0,10,SAT,
10,randomPN_20.lp,0.097,0.0,0.0,0.0,0.0,29218.0,13987.0,1.0,0.0,10,SAT,
10,randomPN_21.lp,0.102,108.0,291.0,0.0,90.0,28125.0,13575.0,10.0,0.0,10,SAT,
10,randomPN_22.lp,0.14,147.0,535.0,0.0,132.0,29105.0,13791.0,10.0,0.0,10,SAT,
10,randomPN_23.lp,0.092,29.0,31.0,0.0,2.0,26779.0,12766.0,3.0,0.0,10,SAT,
10,randomPN_24.lp,0.151,31.0,143.0,0.0,31.0,24506.0,11566.0,10.0,0.0,10,SAT,
10,randomPN_25.lp,0.096,13.0,137.0,0.0,13.0,23431.0,11437.0,2.0,0.0,10,SAT,
10,randomPN_26.lp,0.096,33.0,337.0,0.0,30.0,22330.0,10963.0,10.0,0.0,10,SAT,
10,randomPN_27.lp,0.083,0.0,0.0,0.0,0.0,26362.0,12783.0,1.0,0.0,10,SAT,
10,randomPN_28.lp,0.083,58.0,326.0,0.0,54.0,22598.0,11048.0,10.0,0.0,10,SAT,
10,randomPN_29.lp,0.101,116.0,397.0,0.0,113.0,27905.0,13217.0,10.0,0.0,10,SAT,
10,randomPN_3.lp,0.107,56.0,304.0,0.0,54.0,28472.0,13629.0,10.0,0.0,10,SAT,
10,randomPN_30.lp,0.109,70.0,414.0,0.0,69.0,30101.0,14312.0,10.0,0.0,10,SAT,
10,randomPN_31.lp,0.095,184.0,1067.0,0.0,183.0,23304.0,11102.0,10.0,0.0,10,SAT,
10,randomPN_32.lp,0.102,46.0,160.0,0.0,28.0,26815.0,12889.0,4.0,0.0,10,SAT,
10,randomPN_33.lp,0.093,83.0,518.0,0.0,79.0,26132.0,12554.0,10.0,0.0,10,SAT,
10,randomPN_34.lp,0.084,48.0,332.0,0.0,48.0,24160.0,11694.0,10.0,0.0,10,SAT,
10,randomPN_35.lp,0.102,87.0,219.0,0.0,87.0,29358.0,14124.0,10.0,0.0,10,SAT,
10,randomPN_36.lp,0.104,104.0,178.0,0.0,104.0,28472.0,13623.0,10.0,0.0,10,SAT,
10,randomPN_37.lp,0.146,0.0,0.0,0.0,0.0,24551.0,12163.0,1.0,0.0,10,SAT,
10,randomPN_38.lp,0.094,127.0,515.0,0.0,125.0,25778.0,12386.0,10.0,0.0,10,SAT,
10,randomPN_39.lp,0.075,0.0,0.0,0.0,0.0,24188.0,11605.0,1.0,0.0,10,SAT,
10,randomPN_4.lp,0.141,85.0,148.0,0.0,63.0,25019.0,12181.0,10.0,0.0,10,SAT,
10,randomPN_40.lp,0.089,149.0,362.0,1.0,136.0,23382.0,11423.0,10.0,0.0,10,SAT,
10,randomPN_41.lp,0.078,60.0,108.0,0.0,60.0,22710.0,11075.0,10.0,0.0,10,SAT,
10,randomPN_42.lp,0.112,42.0,91.0,0.0,23.0,22981.0,11211.0,3.0,0.0,10,SAT,
10,randomPN_43.lp,0.142,152.0,755.0,0.0,146.0,32781.0,15520.0,10.0,0.0,10,SAT,
10,randomPN_44.lp,0.14,66.0,200.0,0.0,66.0,25425.0,12466.0,10.0,0.0,10,SAT,
10,randomPN_45.lp,0.159,0.0,0.0,0.0,0.0,27910.0,13399.0,1.0,0.0,10,SAT,
10,randomPN_46.lp,0.15,0.0,0.0,0.0,0.0,28905.0,13909.0,1.0,0.0,10,SAT,
10,randomPN_47.lp,0.112,24.0,66.0,0.0,6.0,28687.0,13684.0,2.0,0.0,10,SAT,
10,randomPN_48.lp,0.102,0.0,0.0,0.0,0.0,28288.0,13749.0,1.0,0.0,10,SAT,
10,randomPN_49.lp,0.086,0.0,0.0,0.0,0.0,26383.0,12565.0,1.0,0.0,10,SAT,
10,randomPN_5.lp,0.106,36.0,34.0,0.0,36.0,25244.0,12021.0,10.0,0.0,10,SAT,
10,randomPN_6.lp,0.093,123.0,344.0,0.0,109.0,25221.0,12088.0,10.0,0.0,10,SAT,
10,randomPN_7.lp,0.117,84.0,584.0,0.0,80.0,28404.0,13501.0,10.0,0.0,10,SAT,
10,randomPN_8.lp,0.097,91.0,287.0,0.0,91.0,23070.0,11395.0,10.0,0.0,10,SAT,
10,randomPN_9.lp,0.078,0.0,0.0,0.0,0.0,24048.0,11585.0,1.0,0.0,10,SAT,
