Count,Filename,Execution Time (s),Conflicts,Choices,Restarts,Backjumps,Rules,Atoms,Models,Eliminated Vars,Horizon,Status,FailPhase
16,randomPN_0.lp,0.134,189.0,1882.0,0.0,188.0,37443.0,17912.0,10.0,0.0,10,SAT,
16,randomPN_1.lp,0.131,263.0,1470.0,0.0,259.0,36351.0,17209.0,10.0,0.0,10,SAT,
16,randomPN_10.lp,0.158,165.0,2780.0,1.0,163.0,44385.0,20985.0,10.0,0.0,10,SAT,
16,randomPN_11.lp,0.124,176.0,1207.0,0.0,175.0,35859.0,17207.0,10.0,0.0,10,SAT,
16,randomPN_12.lp,0.135,107.0,933.0,0.0,106.0,38261.0,18130.0,10.0,0.0,10,SAT,
16,randomPN_13.lp,0.144,153.0,2013.0,0.0,153.0,40496.0,19248.0,10.0,0.0,10,SAT,
16,randomPN_14.lp,0.156,306.0,2286.0,0.0,304.0,42826.0,20103.0,10.0,0.0,10,SAT,
16,randomPN_15.lp,0.182,668.0,6571.0,2.0,668.0,46271.0,21667.0,10.0,0.0,10,SAT,
16,randomPN_16.lp,0.152,324.0,3102.0,0.0,324.0,40638.0,18916.0,10.0,0.0,10,SAT,
16,randomPN_17.lp,0.152,279.0,3450.0,0.0,277.0,41614.0,19582.0,10.0,0.0,10,SAT,
16,randomPN_18.lp,0.134,177.0,1713.0,0.0,176.0,37855.0,18009.0,10.0,0.0,10,SAT,
16,randomPN_19.lp,0.134,29.0,175.0,0.0,11.0,41627.0,19794.0,2.0,0.0,10,SAT,
16,randomPN_2.lp,0.152,196.0,1838.0,0.0,196.0,42991.0,20247.0,10.0,0.0,10,SAT,
16,randomPN_20.lp,0.149,175.0,2487.0,0.0,174.0,40943.0,19312.0,10.0,0.0,10,SAT,
16,randomPN_21.lp,0.135,106.0,1054.0,0.0,106.0,37952.0,18100.0,10.0,0.0,10,SAT,
16,randomPN_22.lp,0.132,202.0,2421.0,0.0,202.0,37443.0,17959.0,10.0,0.0,10,SAT,
16,randomPN_23.lp,0.127,200.0,2592.0,0.0,199.0,35188.0,16637.0,10.0,0.0,10,SAT,
16,randomPN_24.lp,0.131,242.0,2153.0,0.0,224.0,37309.0,18113.0,10.0,0.0,10,SAT,
16,randomPN_25.lp,0.137,317.0,2678.0,0.0,317.0,37791.0,17984.0,10.0,0.0,10,SAT,
16,randomPN_26.lp,0.127,356.0,1593.0,0.0,353.0,37849.0,18621.0,10.0,0.0,10,SAT,
16,randomPN_27.lp,0.121,211.0,1782.0,0.0,208.0,34878.0,16867.0,10.0,0.0,10,SAT,
16,randomPN_28.lp,0.135,190.0,1871.0,0.0,189.0,38374.0,18583.0,10.0,0.0,10,SAT,
16,randomPN_29.lp,0.165,151.0,1406.0,0.0,150.0,47218.0,22341.0,10.0,0.0,10,SAT,
16,randomPN_3.lp,0.128,392.0,5402.0,1.0,392.0,35142.0,16772.0,10.0,0.0,10,SAT,
16,randomPN_30.lp,0.142,186.0,1939.0,0.0,186.0,39547.0,18813.0,10.0,0.0,10,SAT,
16,randomPN_31.lp,0.159,241.0,1899.0,0.0,239.0,42240.0,19790.0,10.0,0.0,10,SAT,
16,randomPN_32.lp,0.114,216.0,2362.0,0.0,213.0,32262.0,15521.0,10.0,0.0,10,SAT,
16,randomPN_33.lp,0.15,240.0,4603.0,0.0,239.0,40642.0,19446.0,10.0,0.0,10,SAT,
16,randomPN_34.lp,0.129,183.0,2835.0,0.0,182.0,35221.0,16635.0,10.0,0.0,10,SAT,
