Count,Filename,Execution Time (s),Conflicts,Choices,Restarts,Backjumps,Rules,Atoms,Models,Eliminated Vars,Horizon,Status,FailPhase
4,randomPN_0.lp,0.175,151.0,1119.0,0.0,151.0,45266.0,20881.0,10.0,0.0,10,SAT,
4,randomPN_1.lp,0.177,135.0,1069.0,0.0,131.0,45372.0,20986.0,10.0,0.0,10,SAT,
4,randomPN_10.lp,0.173,122.0,960.0,0.0,122.0,45832.0,21432.0,10.0,0.0,10,SAT,
4,randomPN_11.lp,0.194,109.0,1365.0,0.0,107.0,45478.0,21006.0,10.0,0.0,10,SAT,
4,randomPN_12.lp,0.176,153.0,1501.0,0.0,153.0,45441.0,21006.0,10.0,0.0,10,SAT,
4,randomPN_13.lp,0.173,121.0,765.0,0.0,106.0,45349.0,20896.0,10.0,0.0,10,SAT,
4,randomPN_14.lp,0.171,136.0,1422.0,0.0,136.0,45313.0,20932.0,10.0,0.0,10,SAT,
4,randomPN_15.lp,0.2,153.0,1284.0,0.0,151.0,45266.0,21090.0,10.0,0.0,10,SAT,
4,randomPN_16.lp,0.207,107.0,2377.0,0.0,107.0,45467.0,21104.0,10.0,0.0,10,SAT,
4,randomPN_17.lp,0.175,140.0,821.0,0.0,138.0,45302.0,20777.0,10.0,0.0,10,SAT,
4,randomPN_18.lp,0.185,255.0,1702.0,0.0,253.0,45984.0,21371.0,10.0,0.0,10,SAT,
4,randomPN_19.lp,0.166,162.0,1603.0,0.0,160.0,45383.0,21064.0,10.0,0.0,10,SAT,
4,randomPN_2.lp,0.168,141.0,1219.0,0.0,141.0,45361.0,20985.0,10.0,0.0,10,SAT,
4,randomPN_20.lp,0.171,133.0,671.0,0.0,133.0,45255.0,20836.0,10.0,0.0,10,SAT,
4,randomPN_21.lp,0.178,166.0,1600.0,0.0,165.0,45646.0,21139.0,10.0,0.0,10,SAT,
4,randomPN_22.lp,0.171,137.0,1054.0,0.0,135.0,45718.0,21275.0,10.0,0.0,10,SAT,
4,randomPN_23.lp,0.17,276.0,1352.0,0.0,265.0,45525.0,21090.0,10.0,0.0,10,SAT,
4,randomPN_24.lp,0.192,177.0,1177.0,0.0,177.0,45255.0,21111.0,10.0,0.0,10,SAT,
4,randomPN_25.lp,0.208,143.0,869.0,0.0,143.0,45233.0,20757.0,10.0,0.0,10,SAT,
4,randomPN_26.lp,0.201,285.0,3244.0,0.0,285.0,45715.0,21280.0,10.0,0.0,10,SAT,
