Count,Filename,Execution Time (s),Conflicts,Choices,Restarts,Backjumps,Rules,Atoms,Models,Eliminated Vars,Horizon,Status,FailPhase
22,randomPN_0.lp,0.296,783.0,4163.0,4.0,782.0,133343.0,62749.0,10.0,0.0,10,SAT,
22,randomPN_1.lp,0.276,576.0,5198.0,2.0,572.0,125369.0,57713.0,10.0,0.0,10,SAT,
22,randomPN_10.lp,0.264,709.0,4176.0,2.0,703.0,109784.0,50156.0,10.0,0.0,10,SAT,
22,randomPN_11.lp,0.302,652.0,3537.0,2.0,637.0,135528.0,63762.0,10.0,0.0,10,SAT,
22,randomPN_12.lp,0.335,598.0,4514.0,3.0,595.0,117795.0,55195.0,10.0,0.0,10,SAT,
22,randomPN_13.lp,0.268,662.0,4252.0,3.0,655.0,129787.0,59793.0,10.0,0.0,10,SAT,
22,randomPN_14.lp,0.286,628.0,5303.0,3.0,621.0,133369.0,62751.0,10.0,0.0,10,SAT,
22,randomPN_15.lp,0.31,1096.0,7490.0,4.0,1090.0,129735.0,59738.0,10.0,0.0,10,SAT,
22,randomPN_16.lp,0.307,667.0,5976.0,3.0,652.0,135546.0,63763.0,10.0,0.0,10,SAT,
22,randomPN_17.lp,0.364,992.0,6088.0,5.0,983.0,128008.0,61301.0,10.0,0.0,10,SAT,
22,randomPN_18.lp,0.291,997.0,6141.0,5.0,996.0,129798.0,59794.0,10.0,0.0,10,SAT,
22,randomPN_19.lp,0.294,711.0,4711.0,3.0,705.0,135545.0,63763.0,10.0,0.0,10,SAT,
22,randomPN_2.lp,0.283,578.0,4506.0,2.0,574.0,135535.0,63762.0,10.0,0.0,10,SAT,
22,randomPN_20.lp,0.302,791.0,7816.0,3.0,791.0,117798.0,55195.0,10.0,0.0,10,SAT,
22,randomPN_21.lp,0.26,586.0,6635.0,3.0,581.0,107620.0,49145.0,10.0,0.0,10,SAT,
22,randomPN_22.lp,0.298,465.0,4976.0,2.0,461.0,143538.0,68801.0,10.0,0.0,10,SAT,
22,randomPN_23.lp,0.292,443.0,5066.0,1.0,437.0,143189.0,66339.0,10.0,0.0,10,SAT,
22,randomPN_24.lp,0.299,551.0,5131.0,2.0,546.0,133362.0,62751.0,10.0,0.0,10,SAT,
22,randomPN_25.lp,0.301,423.0,3918.0,2.0,421.0,135542.0,63763.0,10.0,0.0,10,SAT,
22,randomPN_26.lp,0.241,420.0,3371.0,2.0,415.0,92023.0,41587.0,10.0,0.0,10,SAT,
22,randomPN_27.lp,0.3,729.0,5548.0,3.0,728.0,133360.0,62750.0,10.0,0.0,10,SAT,
22,randomPN_28.lp,0.291,445.0,2582.0,2.0,445.0,151829.0,70330.0,10.0,0.0,10,SAT,
22,randomPN_29.lp,0.26,459.0,2700.0,1.0,451.0,109835.0,50212.0,10.0,0.0,10,SAT,
22,randomPN_3.lp,0.295,573.0,4277.0,3.0,567.0,151833.0,70330.0,10.0,0.0,10,SAT,
22,randomPN_30.lp,0.291,563.0,5181.0,3.0,556.0,117836.0,55251.0,10.0,0.0,10,SAT,
22,randomPN_31.lp,0.292,515.0,2975.0,3.0,506.0,143558.0,68855.0,10.0,0.0,10,SAT,
22,randomPN_32.lp,0.282,551.0,3653.0,2.0,548.0,133404.0,62806.0,10.0,0.0,10,SAT,
22,randomPN_33.lp,0.298,513.0,4686.0,2.0,512.0,133402.0,62807.0,10.0,0.0,10,SAT,
22,randomPN_34.lp,0.302,879.0,6076.0,5.0,874.0,133415.0,62807.0,10.0,0.0,10,SAT,
22,randomPN_35.lp,0.282,479.0,4403.0,2.0,475.0,133353.0,62750.0,10.0,0.0,10,SAT,
22,randomPN_36.lp,0.284,528.0,4215.0,2.0,524.0,145366.0,67350.0,10.0,0.0,10,SAT,
22,randomPN_37.lp,0.266,661.0,6573.0,2.0,654.0,133370.0,62751.0,10.0,0.0,10,SAT,
22,randomPN_38.lp,0.266,728.0,5887.0,3.0,717.0,102204.0,47637.0,10.0,0.0,10,SAT,
22,randomPN_39.lp,0.292,506.0,4553.0,2.0,502.0,133358.0,62750.0,10.0,0.0,10,SAT,
22,randomPN_4.lp,0.301,646.0,4758.0,4.0,635.0,145303.0,67294.0,10.0,0.0,10,SAT,
22,randomPN_40.lp,0.258,441.0,2473.0,2.0,439.0,117766.0,55192.0,10.0,0.0,10,SAT,
22,randomPN_41.lp,0.291,469.0,2869.0,2.0,466.0,149040.0,70421.0,10.0,0.0,10,SAT,
22,randomPN_42.lp,0.273,855.0,6219.0,4.0,849.0,102216.0,47638.0,10.0,0.0,10,SAT,
