Count,Filename,Execution Time (s),Conflicts,Choices,Restarts,Backjumps,Rules,Atoms,Models,Eliminated Vars,Horizon,Status,FailPhase
12,randomPN_0.lp,0.426,914.0,7711.0,4.0,910.0,209912.0,98818.0,10.0,0.0,10,SAT,
12,randomPN_1.lp,1.354,3928.0,51356.0,18.0,3922.0,516120.0,245055.0,10.0,0.0,10,SAT,
12,randomPN_10.lp,0.514,209.0,777.0,0.0,196.0,295626.0,145366.0,10.0,0.0,10,SAT,
12,randomPN_11.lp,0.323,445.0,4079.0,2.0,433.0,159354.0,76664.0,10.0,0.0,10,SAT,
12,randomPN_12.lp,0.686,797.0,4942.0,2.0,788.0,382077.0,181591.0,10.0,0.0,10,SAT,
12,randomPN_13.lp,1.066,1040.0,12957.0,4.0,1029.0,573919.0,277606.0,10.0,0.0,10,SAT,
12,randomPN_14.lp,0.286,1435.0,12738.0,7.0,1416.0,96528.0,47603.0,10.0,0.0,10,SAT,
12,randomPN_15.lp,0.31,589.0,4101.0,2.0,586.0,159937.0,76127.0,10.0,0.0,10,SAT,
12,randomPN_16.lp,0.999,204.0,2876.0,0.0,202.0,552676.0,265558.0,3.0,0.0,10,SAT,
12,randomPN_17.lp,1.285,2282.0,24730.0,11.0,2248.0,538099.0,257448.0,10.0,0.0,10,SAT,
12,randomPN_18.lp,0.847,1738.0,20125.0,9.0,1737.0,429653.0,203235.0,10.0,0.0,10,SAT,
12,randomPN_19.lp,0.758,1670.0,17072.0,9.0,1667.0,364030.0,174543.0,10.0,0.0,10,SAT,
12,randomPN_2.lp,0.365,1199.0,13290.0,7.0,1199.0,141323.0,68171.0,10.0,0.0,10,SAT,
12,randomPN_20.lp,0.493,673.0,6217.0,3.0,667.0,269562.0,128947.0,10.0,0.0,10,SAT,
12,randomPN_21.lp,0.508,235.0,1798.0,1.0,223.0,280994.0,136168.0,2.0,0.0,10,SAT,
12,randomPN_22.lp,0.545,415.0,2113.0,1.0,397.0,315789.0,150314.0,10.0,0.0,10,SAT,
12,randomPN_23.lp,0.701,838.0,7175.0,3.0,833.0,383631.0,184481.0,10.0,0.0,10,SAT,
12,randomPN_24.lp,0.309,358.0,2866.0,1.0,345.0,159825.0,80471.0,10.0,0.0,10,SAT,
12,randomPN_25.lp,1.055,3029.0,23629.0,15.0,3026.0,437729.0,212973.0,10.0,0.0,10,SAT,
12,randomPN_26.lp,1.539,439.0,3629.0,1.0,436.0,809793.0,383736.0,0.0,0.0,10,UNSAT,
12,randomPN_27.lp,0.325,526.0,2846.0,2.0,517.0,131010.0,68507.0,6.0,0.0,10,SAT,
12,randomPN_28.lp,1.214,1211.0,21140.0,7.0,1206.0,623152.0,299095.0,10.0,0.0,10,SAT,
12,randomPN_29.lp,0.872,977.0,6190.0,2.0,957.0,473791.0,233924.0,10.0,0.0,10,SAT,
12,randomPN_3.lp,0.993,923.0,8313.0,4.0,913.0,528315.0,255547.0,10.0,0.0,10,SAT,
12,randomPN_30.lp,0.76,985.0,11068.0,6.0,984.0,396385.0,188617.0,10.0,0.0,10,SAT,
