Count,Filename,Execution Time (s),Conflicts,Choices,Restarts,Backjumps,Rules,Atoms,Models,Eliminated Vars,Horizon,Status,FailPhase
4,randomPN_0.lp,37.782,875.0,4139.0,3.0,874.0,26731124.0,12796721.0,10.0,0.0,10,SAT,
4,randomPN_1.lp,39.294,781.0,15553.0,4.0,770.0,27507802.0,13157723.0,10.0,0.0,10,SAT,
4,randomPN_10.lp,37.936,910.0,5164.0,3.0,898.0,26987078.0,12914520.0,10.0,0.0,10,SAT,
4,randomPN_11.lp,42.569,622.0,3287.0,1.0,581.0,30367738.0,14543431.0,3.0,0.0,10,SAT,
4,randomPN_12.lp,38.119,0.0,0.0,0.0,0.0,27091953.0,12981221.0,1.0,0.0,10,SAT,
4,randomPN_13.lp,37.543,676.0,6191.0,1.0,671.0,26115869.0,12476079.0,10.0,0.0,10,SAT,
4,randomPN_14.lp,36.34,951.0,8819.0,3.0,923.0,25127758.0,12009682.0,10.0,0.0,10,SAT,
4,randomPN_15.lp,47.238,37.0,340.0,0.0,37.0,34286013.0,16444654.0,1.0,0.0,10,SAT,
4,randomPN_16.lp,33.205,0.0,0.0,0.0,0.0,23296309.0,11143778.0,1.0,0.0,10,SAT,
4,randomPN_17.lp,42.968,501.0,3083.0,2.0,496.0,30879497.0,14771729.0,10.0,0.0,10,SAT,
4,randomPN_18.lp,40.072,364.0,1936.0,0.0,364.0,28547115.0,13683743.0,2.0,0.0,10,SAT,
4,randomPN_19.lp,30.737,721.0,8574.0,2.0,715.0,22431499.0,10683276.0,10.0,0.0,10,SAT,
4,randomPN_2.lp,30.452,999.0,6479.0,3.0,994.0,22204445.0,10600794.0,10.0,0.0,10,SAT,
4,randomPN_20.lp,37.246,0.0,0.0,0.0,0.0,26145642.0,12509259.0,1.0,0.0,10,SAT,
4,randomPN_21.lp,41.006,11.0,255.0,0.0,11.0,28982047.0,13878829.0,1.0,0.0,10,SAT,
4,randomPN_22.lp,54.309,731.0,6337.0,1.0,726.0,39407528.0,18904069.0,10.0,0.0,10,SAT,
4,randomPN_23.lp,40.35,737.0,6266.0,2.0,727.0,28370714.0,13597326.0,10.0,0.0,10,SAT,
4,randomPN_24.lp,44.133,493.0,2477.0,0.0,469.0,31284315.0,14995887.0,9.0,0.0,10,SAT,
4,randomPN_25.lp,38.347,0.0,0.0,0.0,0.0,27286003.0,13076872.0,1.0,0.0,10,SAT,
4,randomPN_26.lp,37.941,1246.0,6927.0,4.0,1242.0,26733715.0,12781188.0,10.0,0.0,10,SAT,
4,randomPN_27.lp,44.269,786.0,5009.0,2.0,777.0,31798525.0,15238740.0,10.0,0.0,10,SAT,
4,randomPN_28.lp,50.438,794.0,3396.0,1.0,779.0,36627884.0,17556645.0,10.0,0.0,10,SAT,
4,randomPN_29.lp,38.248,790.0,3244.0,2.0,771.0,27104734.0,12992531.0,10.0,0.0,10,SAT,
4,randomPN_3.lp,49.957,272.0,1687.0,0.0,263.0,36315492.0,17416013.0,2.0,0.0,10,SAT,
4,randomPN_30.lp,29.548,53.0,197.0,0.0,53.0,21577658.0,10333987.0,1.0,0.0,10,SAT,
4,randomPN_31.lp,38.546,770.0,3156.0,0.0,762.0,27311630.0,13073872.0,10.0,0.0,10,SAT,
4,randomPN_32.lp,44.028,531.0,2911.0,1.0,528.0,31649661.0,15156276.0,10.0,0.0,10,SAT,
4,randomPN_33.lp,41.767,941.0,5351.0,2.0,933.0,29760919.0,14264722.0,10.0,0.0,10,SAT,
4,randomPN_34.lp,40.036,974.0,3416.0,1.0,958.0,28128919.0,13481918.0,10.0,0.0,10,SAT,
4,randomPN_35.lp,35.038,166.0,477.0,0.0,166.0,24703714.0,11813801.0,2.0,0.0,10,SAT,
4,randomPN_36.lp,42.945,677.0,3142.0,0.0,670.0,30854244.0,14796200.0,10.0,0.0,10,SAT,
4,randomPN_37.lp,36.452,1171.0,7624.0,5.0,1160.0,25515644.0,12211750.0,10.0,0.0,10,SAT,
4,randomPN_38.lp,35.223,807.0,8298.0,2.0,806.0,24706901.0,11823603.0,10.0,0.0,10,SAT,
4,randomPN_39.lp,42.488,825.0,4089.0,2.0,824.0,30489038.0,14596321.0,10.0,0.0,10,SAT,
4,randomPN_4.lp,38.823,22.0,207.0,0.0,22.0,27219559.0,13045251.0,1.0,0.0,10,SAT,
4,randomPN_40.lp,39.042,486.0,1400.0,1.0,471.0,27726605.0,13270365.0,4.0,0.0,10,SAT,
4,randomPN_41.lp,43.305,216.0,928.0,0.0,216.0,30723161.0,14723567.0,2.0,0.0,10,SAT,
4,randomPN_42.lp,43.632,131.0,613.0,0.0,131.0,31282957.0,14988607.0,1.0,0.0,10,SAT,
4,randomPN_43.lp,37.694,620.0,4159.0,1.0,613.0,26660499.0,12770548.0,10.0,0.0,10,SAT,
4,randomPN_44.lp,38.123,756.0,3312.0,3.0,753.0,26930557.0,12899784.0,10.0,0.0,10,SAT,
4,randomPN_45.lp,40.103,703.0,2437.0,1.0,696.0,28190204.0,13499460.0,10.0,0.0,10,SAT,
4,randomPN_46.lp,34.434,617.0,2121.0,2.0,600.0,23984800.0,11462945.0,10.0,0.0,10,SAT,
4,randomPN_47.lp,44.882,237.0,1261.0,0.0,237.0,31763377.0,15221780.0,2.0,0.0,10,SAT,
4,randomPN_48.lp,40.656,1631.0,17696.0,6.0,1621.0,28609167.0,13675372.0,10.0,0.0,10,SAT,
4,randomPN_49.lp,36.735,719.0,3498.0,1.0,703.0,25557893.0,12225954.0,10.0,0.0,10,SAT,
4,randomPN_5.lp,38.374,741.0,4242.0,1.0,733.0,27362564.0,13095537.0,10.0,0.0,10,SAT,
4,randomPN_6.lp,34.78,776.0,4129.0,2.0,775.0,23983886.0,11472295.0,10.0,0.0,10,SAT,
4,randomPN_7.lp,44.307,87.0,264.0,0.0,87.0,31963669.0,15323441.0,1.0,0.0,10,SAT,
4,randomPN_8.lp,31.007,524.0,1702.0,0.0,518.0,22439920.0,10739870.0,6.0,0.0,10,SAT,
4,randomPN_9.lp,40.646,730.0,5341.0,2.0,729.0,28557489.0,13662758.0,10.0,0.0,10,SAT,
