Count,Filename,Execution Time (s),Conflicts,Choices,Restarts,Backjumps,Rules,Atoms,Models,Eliminated Vars,Horizon,Status,FailPhase
8,randomPN_0.lp,39.661,698.0,5422.0,2.0,695.0,28419392.0,13649863.0,10.0,0.0,10,SAT,
8,randomPN_1.lp,53.114,828.0,5396.0,3.0,826.0,39073920.0,18779599.0,10.0,0.0,10,SAT,
8,randomPN_10.lp,49.547,567.0,3021.0,1.0,563.0,35791972.0,17233145.0,10.0,0.0,10,SAT,
8,randomPN_11.lp,49.505,1202.0,7936.0,4.0,1189.0,36050532.0,17324097.0,10.0,0.0,10,SAT,
8,randomPN_12.lp,39.959,768.0,7018.0,1.0,767.0,28566032.0,13722491.0,10.0,0.0,10,SAT,
8,randomPN_13.lp,55.135,298.0,1471.0,0.0,292.0,40492483.0,19532622.0,10.0,0.0,10,SAT,
8,randomPN_14.lp,36.039,693.0,3647.0,2.0,691.0,25312839.0,12164930.0,10.0,0.0,10,SAT,
8,randomPN_15.lp,36.616,1059.0,7554.0,5.0,1059.0,25843416.0,12370880.0,10.0,0.0,10,SAT,
8,randomPN_16.lp,44.474,1028.0,7946.0,3.0,1020.0,32197445.0,15504330.0,10.0,0.0,10,SAT,
8,randomPN_17.lp,44.858,1007.0,5161.0,3.0,990.0,32054786.0,15397295.0,10.0,0.0,10,SAT,
8,randomPN_18.lp,45.609,385.0,3599.0,1.0,379.0,33170372.0,15969691.0,10.0,0.0,10,SAT,
8,randomPN_19.lp,37.861,1290.0,11395.0,6.0,1282.0,26939057.0,12935602.0,10.0,0.0,10,SAT,
8,randomPN_2.lp,52.746,649.0,3350.0,1.0,638.0,38736282.0,18659982.0,10.0,0.0,10,SAT,
8,randomPN_20.lp,37.102,658.0,4911.0,2.0,655.0,26388946.0,12657776.0,10.0,0.0,10,SAT,
8,randomPN_21.lp,46.515,1030.0,10549.0,5.0,1023.0,33903445.0,16307224.0,10.0,0.0,10,SAT,
8,randomPN_22.lp,51.324,863.0,9330.0,3.0,860.0,37735404.0,18168673.0,10.0,0.0,10,SAT,
8,randomPN_23.lp,57.21,632.0,2717.0,1.0,602.0,41983793.0,20211675.0,10.0,0.0,10,SAT,
8,randomPN_24.lp,53.053,2002.0,6665.0,9.0,1993.0,38793155.0,18646676.0,10.0,0.0,10,SAT,
8,randomPN_25.lp,44.89,671.0,6611.0,1.0,667.0,32598296.0,15650125.0,10.0,0.0,10,SAT,
8,randomPN_26.lp,59.44,952.0,6929.0,2.0,947.0,43233870.0,20825063.0,10.0,0.0,10,SAT,
8,randomPN_27.lp,47.355,1229.0,8776.0,2.0,1143.0,34479913.0,16553701.0,10.0,0.0,10,SAT,
8,randomPN_28.lp,46.928,987.0,8058.0,3.0,984.0,33863644.0,16325650.0,10.0,0.0,10,SAT,
8,randomPN_29.lp,51.059,757.0,4162.0,3.0,751.0,37440172.0,18028416.0,10.0,0.0,10,SAT,
8,randomPN_3.lp,46.316,1023.0,7469.0,2.0,1019.0,33866776.0,16324466.0,10.0,0.0,10,SAT,
8,randomPN_30.lp,42.336,803.0,6259.0,3.0,801.0,30487749.0,14651136.0,10.0,0.0,10,SAT,
8,randomPN_31.lp,42.688,913.0,15123.0,4.0,913.0,30840537.0,14832465.0,10.0,0.0,10,SAT,
8,randomPN_32.lp,46.329,759.0,6393.0,2.0,757.0,33191668.0,15960584.0,10.0,0.0,10,SAT,
8,randomPN_33.lp,47.038,702.0,4542.0,3.0,688.0,33922833.0,16312008.0,10.0,0.0,10,SAT,
8,randomPN_34.lp,50.196,801.0,6658.0,1.0,799.0,36654576.0,17643415.0,10.0,0.0,10,SAT,
8,randomPN_35.lp,53.556,634.0,8002.0,1.0,623.0,39369128.0,18965087.0,10.0,0.0,10,SAT,
8,randomPN_36.lp,40.094,1046.0,4218.0,3.0,1037.0,28805695.0,13884411.0,10.0,0.0,10,SAT,
8,randomPN_37.lp,45.016,1014.0,12133.0,4.0,1010.0,32651622.0,15666828.0,10.0,0.0,10,SAT,
