Count,Filename,Execution Time (s),Conflicts,Choices,Restarts,Backjumps,Rules,Atoms,Models,Eliminated Vars,Horizon,Status,FailPhase
10,randomPN_0.lp,16.334,2371.0,75869.0,11.0,2365.0,10229984.0,4937687.0,10.0,0.0,10,SAT,
10,randomPN_1.lp,17.103,2966.0,31169.0,15.0,2960.0,10739038.0,5173005.0,10.0,0.0,10,SAT,
10,randomPN_10.lp,16.526,6408.0,139565.0,27.0,6400.0,9224835.0,4450276.0,10.0,0.0,10,SAT,
10,randomPN_11.lp,25.861,6361.0,273977.0,26.0,6352.0,14407510.0,6977952.0,10.0,0.0,10,SAT,
10,randomPN_12.lp,12.179,1685.0,18808.0,8.0,1665.0,7658241.0,3667964.0,10.0,0.0,10,SAT,
10,randomPN_13.lp,11.158,2258.0,38337.0,9.0,2241.0,7372765.0,3569896.0,10.0,0.0,10,SAT,
10,randomPN_14.lp,12.605,3198.0,107182.0,14.0,3198.0,7073856.0,3385092.0,10.0,0.0,10,SAT,
10,randomPN_15.lp,30.102,5024.0,268621.0,23.0,5024.0,17024853.0,8258949.0,10.0,0.0,10,SAT,
10,randomPN_16.lp,12.257,3460.0,73653.0,14.0,3457.0,6714304.0,3209822.0,10.0,0.0,10,SAT,
10,randomPN_17.lp,8.128,1280.0,20718.0,5.0,1278.0,5470521.0,2639724.0,10.0,0.0,10,SAT,
10,randomPN_18.lp,14.783,1926.0,43420.0,8.0,1924.0,9529333.0,4619327.0,10.0,0.0,10,SAT,
10,randomPN_19.lp,14.55,1019.0,8427.0,4.0,1016.0,10187949.0,4939198.0,10.0,0.0,10,SAT,
10,randomPN_2.lp,11.062,3031.0,30014.0,13.0,3024.0,6295995.0,3008680.0,10.0,0.0,10,SAT,
10,randomPN_20.lp,16.541,2341.0,35670.0,10.0,2337.0,9773364.0,4672456.0,10.0,0.0,10,SAT,
10,randomPN_21.lp,16.683,4279.0,138540.0,16.0,4270.0,9310883.0,4473184.0,10.0,0.0,10,SAT,
10,randomPN_22.lp,16.707,2182.0,27531.0,10.0,2180.0,11349116.0,5512827.0,10.0,0.0,10,SAT,
10,randomPN_23.lp,10.359,5541.0,104228.0,24.0,5531.0,5580554.0,2690000.0,10.0,0.0,10,SAT,
10,randomPN_24.lp,18.942,6701.0,194935.0,25.0,6634.0,8849747.0,4254695.0,10.0,0.0,10,SAT,
10,randomPN_25.lp,12.574,2935.0,103699.0,10.0,2928.0,7242769.0,3469476.0,10.0,0.0,10,SAT,
10,randomPN_26.lp,18.469,3622.0,99238.0,11.0,3621.0,9980792.0,4811373.0,10.0,0.0,10,SAT,
10,randomPN_27.lp,17.21,5235.0,140124.0,20.0,5231.0,8229230.0,3952037.0,10.0,0.0,10,SAT,
10,randomPN_28.lp,25.988,7090.0,236615.0,30.0,7090.0,12461300.0,6028200.0,10.0,0.0,10,SAT,
10,randomPN_29.lp,26.154,3359.0,61799.0,16.0,3349.0,16056231.0,7799490.0,10.0,0.0,10,SAT,
10,randomPN_3.lp,16.151,2582.0,41800.0,10.0,2576.0,10493028.0,5066191.0,10.0,0.0,10,SAT,
10,randomPN_30.lp,12.435,3085.0,50372.0,14.0,3085.0,7763213.0,3752569.0,10.0,0.0,10,SAT,
10,randomPN_31.lp,5.854,923.0,12532.0,5.0,915.0,3910948.0,1876153.0,10.0,0.0,10,SAT,
10,randomPN_32.lp,11.684,2341.0,62831.0,11.0,2339.0,7475627.0,3617320.0,10.0,0.0,10,SAT,
10,randomPN_33.lp,13.265,3149.0,148935.0,12.0,3149.0,7195398.0,3431268.0,10.0,0.0,10,SAT,
10,randomPN_34.lp,20.251,2423.0,125774.0,9.0,2423.0,12915024.0,6260680.0,10.0,0.0,10,SAT,
10,randomPN_35.lp,13.464,3009.0,39029.0,12.0,3002.0,8367239.0,4039916.0,10.0,0.0,10,SAT,
10,randomPN_36.lp,14.72,2572.0,22839.0,11.0,2504.0,9513121.0,4571363.0,10.0,0.0,10,SAT,
10,randomPN_37.lp,14.941,844.0,17365.0,2.0,841.0,9907708.0,4784610.0,10.0,0.0,10,SAT,
10,randomPN_38.lp,16.573,3310.0,28148.0,13.0,3309.0,10422852.0,5028464.0,10.0,0.0,10,SAT,
10,randomPN_39.lp,15.195,201.0,2584.0,0.0,193.0,10524599.0,5091861.0,10.0,0.0,10,SAT,
10,randomPN_4.lp,10.668,3839.0,78022.0,17.0,3839.0,6246062.0,3003073.0,10.0,0.0,10,SAT,
10,randomPN_40.lp,14.13,1866.0,56273.0,8.0,1854.0,8922281.0,4308957.0,10.0,0.0,10,SAT,
10,randomPN_41.lp,10.672,2709.0,38118.0,13.0,2696.0,6707829.0,3240767.0,10.0,0.0,10,SAT,
10,randomPN_42.lp,26.936,4344.0,106184.0,19.0,4342.0,15993141.0,7769637.0,10.0,0.0,10,SAT,
10,randomPN_43.lp,14.017,1763.0,33652.0,5.0,1763.0,9292555.0,4466961.0,10.0,0.0,10,SAT,
10,randomPN_44.lp,19.963,1033.0,53438.0,5.0,1031.0,12941077.0,6256664.0,10.0,0.0,10,SAT,
10,randomPN_45.lp,10.538,1711.0,15410.0,5.0,1696.0,6654856.0,3191857.0,10.0,0.0,10,SAT,
10,randomPN_46.lp,14.614,3451.0,79159.0,15.0,3451.0,8796468.0,4238703.0,10.0,0.0,10,SAT,
10,randomPN_47.lp,16.769,3546.0,80134.0,15.0,3546.0,9394334.0,4506453.0,10.0,0.0,10,SAT,
10,randomPN_48.lp,11.957,2863.0,53598.0,14.0,2853.0,7671117.0,3701676.0,10.0,0.0,10,SAT,
10,randomPN_49.lp,12.368,2748.0,79741.0,12.0,2748.0,6958046.0,3336486.0,10.0,0.0,10,SAT,
10,randomPN_5.lp,25.079,3749.0,29449.0,13.0,3742.0,16996332.0,8222364.0,10.0,0.0,10,SAT,
10,randomPN_6.lp,8.627,2337.0,31224.0,11.0,2327.0,5423243.0,2595736.0,10.0,0.0,10,SAT,
10,randomPN_7.lp,12.598,2077.0,42127.0,10.0,2077.0,7954015.0,3829867.0,10.0,0.0,10,SAT,
10,randomPN_8.lp,12.19,2047.0,25960.0,9.0,2033.0,7566383.0,3615274.0,10.0,0.0,10,SAT,
10,randomPN_9.lp,19.177,4580.0,59415.0,20.0,4580.0,12345153.0,5984136.0,10.0,0.0,10,SAT,
