Count,Filename,Execution Time (s),Conflicts,Choices,Restarts,Backjumps,Rules,Atoms,Models,Eliminated Vars,Horizon,Status,FailPhase
22,randomPN_0.lp,3.703,2854.0,21012.0,12.0,2851.0,2326526.0,1097811.0,10.0,0.0,10,SAT,
22,randomPN_1.lp,3.615,6004.0,59139.0,18.0,6004.0,2179583.0,1027955.0,10.0,0.0,10,SAT,
22,randomPN_10.lp,4.036,3393.0,44904.0,15.0,3393.0,2527363.0,1196989.0,10.0,0.0,10,SAT,
22,randomPN_11.lp,3.607,2332.0,56233.0,9.0,2332.0,2193051.0,1033457.0,10.0,0.0,10,SAT,
22,randomPN_12.lp,3.632,6439.0,28090.0,16.0,6438.0,2331549.0,1099680.0,10.0,0.0,10,SAT,
22,randomPN_13.lp,3.494,2562.0,32781.0,11.0,2561.0,2190295.0,1033510.0,10.0,0.0,10,SAT,
22,randomPN_14.lp,3.784,3173.0,39199.0,14.0,3172.0,2346237.0,1108227.0,10.0,0.0,10,SAT,
22,randomPN_15.lp,3.459,1124.0,35674.0,5.0,1123.0,2172741.0,1025574.0,10.0,0.0,10,SAT,
22,randomPN_16.lp,4.247,2944.0,49588.0,14.0,2944.0,2642091.0,1252572.0,10.0,0.0,10,SAT,
22,randomPN_17.lp,4.502,1755.0,36806.0,7.0,1755.0,2808710.0,1331036.0,10.0,0.0,10,SAT,
22,randomPN_18.lp,3.847,5190.0,52753.0,15.0,5190.0,2423500.0,1146120.0,10.0,0.0,10,SAT,
22,randomPN_19.lp,3.336,2440.0,44620.0,8.0,2440.0,2061419.0,968445.0,10.0,0.0,10,SAT,
22,randomPN_2.lp,3.666,4803.0,44032.0,11.0,4782.0,2237042.0,1056206.0,10.0,0.0,10,SAT,
22,randomPN_20.lp,3.953,2562.0,34422.0,12.0,2562.0,2410228.0,1139570.0,10.0,0.0,10,SAT,
22,randomPN_21.lp,3.655,1894.0,43957.0,11.0,1894.0,2299102.0,1086202.0,10.0,0.0,10,SAT,
22,randomPN_22.lp,4.056,3226.0,36843.0,14.0,3224.0,2521506.0,1191286.0,10.0,0.0,10,SAT,
22,randomPN_23.lp,3.854,2296.0,29999.0,12.0,2294.0,2416559.0,1142857.0,10.0,0.0,10,SAT,
22,randomPN_24.lp,3.658,2651.0,48411.0,12.0,2651.0,2259538.0,1065506.0,10.0,0.0,10,SAT,
22,randomPN_25.lp,3.81,11190.0,56962.0,20.0,11190.0,2303242.0,1087017.0,10.0,0.0,10,SAT,
22,randomPN_26.lp,3.902,3678.0,44140.0,11.0,3677.0,2397055.0,1133961.0,10.0,0.0,10,SAT,
22,randomPN_27.lp,3.841,2599.0,42534.0,11.0,2586.0,2415857.0,1141786.0,10.0,0.0,10,SAT,
22,randomPN_28.lp,3.615,3112.0,36956.0,13.0,3112.0,2180590.0,1028802.0,10.0,0.0,10,SAT,
22,randomPN_29.lp,4.202,3793.0,44263.0,16.0,3793.0,2577809.0,1222106.0,10.0,0.0,10,SAT,
22,randomPN_3.lp,3.8,4061.0,67649.0,13.0,4060.0,2178254.0,1027687.0,10.0,0.0,10,SAT,
22,randomPN_30.lp,3.862,2174.0,37547.0,10.0,2174.0,2454449.0,1161219.0,10.0,0.0,10,SAT,
22,randomPN_31.lp,3.858,1525.0,20376.0,9.0,1525.0,2553050.0,1207740.0,10.0,0.0,10,SAT,
22,randomPN_32.lp,3.982,2469.0,27400.0,13.0,2467.0,2553790.0,1207177.0,10.0,0.0,10,SAT,
22,randomPN_33.lp,3.501,3429.0,57128.0,12.0,3429.0,2121513.0,1000509.0,10.0,0.0,10,SAT,
22,randomPN_34.lp,4.004,3486.0,56231.0,15.0,3485.0,2476718.0,1170903.0,10.0,0.0,10,SAT,
22,randomPN_35.lp,3.132,2209.0,29281.0,10.0,2204.0,1950210.0,912479.0,10.0,0.0,10,SAT,
22,randomPN_36.lp,3.146,1240.0,31994.0,6.0,1240.0,2000368.0,940108.0,10.0,0.0,10,SAT,
22,randomPN_37.lp,3.518,2643.0,33262.0,13.0,2643.0,2209083.0,1041824.0,10.0,0.0,10,SAT,
22,randomPN_38.lp,3.35,2819.0,36848.0,9.0,2813.0,2102187.0,989903.0,10.0,0.0,10,SAT,
22,randomPN_39.lp,3.371,3102.0,34395.0,13.0,3102.0,2098680.0,988586.0,10.0,0.0,10,SAT,
22,randomPN_4.lp,3.788,3525.0,43924.0,14.0,3523.0,2312303.0,1092401.0,10.0,0.0,10,SAT,
22,randomPN_40.lp,3.694,1957.0,54905.0,7.0,1952.0,2214661.0,1046880.0,10.0,0.0,10,SAT,
22,randomPN_41.lp,3.524,2696.0,29416.0,13.0,2696.0,2210288.0,1042178.0,10.0,0.0,10,SAT,
22,randomPN_42.lp,3.653,2487.0,74679.0,11.0,2486.0,2229186.0,1049791.0,10.0,0.0,10,SAT,
22,randomPN_43.lp,3.426,1372.0,21548.0,6.0,1365.0,2252125.0,1062240.0,10.0,0.0,10,SAT,
22,randomPN_44.lp,3.622,2361.0,55694.0,9.0,2361.0,2288025.0,1078092.0,10.0,0.0,10,SAT,
22,randomPN_45.lp,3.755,3332.0,41220.0,15.0,3332.0,2287596.0,1079613.0,10.0,0.0,10,SAT,
22,randomPN_46.lp,3.435,2836.0,57099.0,13.0,2836.0,2142731.0,1009235.0,10.0,0.0,10,SAT,
22,randomPN_47.lp,3.545,2100.0,33084.0,12.0,2100.0,2228000.0,1052996.0,10.0,0.0,10,SAT,
22,randomPN_48.lp,3.555,2165.0,26284.0,9.0,2164.0,2212423.0,1046599.0,10.0,0.0,10,SAT,
22,randomPN_49.lp,3.222,2314.0,34356.0,11.0,2314.0,2050508.0,965051.0,10.0,0.0,10,SAT,
22,randomPN_5.lp,3.617,1999.0,34699.0,10.0,1999.0,2301816.0,1083558.0,10.0,0.0,10,SAT,
22,randomPN_6.lp,3.66,2044.0,30346.0,11.0,2043.0,2367745.0,1119037.0,10.0,0.0,10,SAT,
22,randomPN_7.lp,3.454,3099.0,70422.0,10.0,3099.0,2088873.0,982571.0,10.0,0.0,10,SAT,
22,randomPN_8.lp,3.772,2306.0,43812.0,12.0,2306.0,2324454.0,1097192.0,10.0,0.0,10,SAT,
22,randomPN_9.lp,4.59,1447.0,39697.0,7.0,1435.0,2878088.0,1364338.0,10.0,0.0,10,SAT,
