Count,Filename,Execution Time (s),Conflicts,Choices,Restarts,Backjumps,Rules,Atoms,Models,Eliminated Vars,Horizon,Status,FailPhase
8,randomPN_0.lp,53.963,4784.0,138213.0,20.0,4735.0,29460312.0,14227548.0,10.0,0.0,10,SAT,
8,randomPN_1.lp,40.143,2019.0,46541.0,6.0,2013.0,24131984.0,11615188.0,10.0,0.0,10,SAT,
8,randomPN_10.lp,63.006,2688.0,34919.0,9.0,2671.0,39008943.0,18940054.0,10.0,0.0,10,SAT,
8,randomPN_11.lp,61.985,3689.0,149439.0,14.0,3689.0,33921976.0,16405494.0,10.0,0.0,10,SAT,
8,randomPN_12.lp,28.496,2956.0,47075.0,14.0,2951.0,18253850.0,8803412.0,10.0,0.0,10,SAT,
8,randomPN_13.lp,48.53,2457.0,88634.0,10.0,2456.0,29285502.0,14135733.0,10.0,0.0,10,SAT,
8,randomPN_14.lp,27.864,2784.0,24075.0,13.0,2780.0,17775267.0,8558350.0,10.0,0.0,10,SAT,
8,randomPN_15.lp,55.799,2957.0,47938.0,10.0,2950.0,34597721.0,16804053.0,10.0,0.0,10,SAT,
8,randomPN_16.lp,44.854,5143.0,113357.0,19.0,5142.0,25122796.0,12020011.0,10.0,0.0,10,SAT,
8,randomPN_17.lp,38.773,1991.0,23388.0,8.0,1980.0,23428695.0,11302770.0,10.0,0.0,10,SAT,
8,randomPN_18.lp,68.453,8254.0,298132.0,31.0,8252.0,37139981.0,17919383.0,10.0,0.0,10,SAT,
8,randomPN_19.lp,48.677,4133.0,80819.0,19.0,4133.0,28737945.0,13904797.0,10.0,0.0,10,SAT,
8,randomPN_2.lp,82.41,3205.0,83761.0,11.0,3194.0,47924438.0,23211261.0,10.0,0.0,10,SAT,
8,randomPN_20.lp,82.06,10590.0,415849.0,42.0,10583.0,33954190.0,16463335.0,10.0,0.0,10,SAT,
8,randomPN_21.lp,59.88,3991.0,194590.0,14.0,3983.0,33451457.0,16193443.0,10.0,0.0,10,SAT,
8,randomPN_22.lp,64.225,6373.0,178303.0,23.0,6370.0,36587570.0,17675244.0,10.0,0.0,10,SAT,
8,randomPN_23.lp,35.345,2919.0,42004.0,10.0,2849.0,22082868.0,10662708.0,10.0,0.0,10,SAT,
8,randomPN_24.lp,41.312,6128.0,55619.0,26.0,6121.0,24624443.0,11897692.0,10.0,0.0,10,SAT,
8,randomPN_25.lp,55.202,5491.0,271587.0,23.0,5480.0,30289362.0,14534268.0,10.0,0.0,10,SAT,
8,randomPN_26.lp,70.819,12348.0,791540.0,48.0,12341.0,33031419.0,15982602.0,10.0,0.0,10,SAT,
8,randomPN_27.lp,56.787,2198.0,31219.0,8.0,2197.0,36747311.0,17843216.0,10.0,0.0,10,SAT,
8,randomPN_28.lp,56.73,5091.0,135730.0,23.0,5075.0,32631921.0,15788242.0,10.0,0.0,10,SAT,
8,randomPN_29.lp,66.415,5371.0,226667.0,23.0,5370.0,35922243.0,17381141.0,10.0,0.0,10,SAT,
8,randomPN_3.lp,70.869,4602.0,208807.0,15.0,4591.0,39255021.0,19032697.0,10.0,0.0,10,SAT,
8,randomPN_30.lp,24.252,1642.0,17689.0,5.0,1639.0,15187880.0,7288680.0,10.0,0.0,10,SAT,
8,randomPN_31.lp,47.055,5106.0,106557.0,20.0,5091.0,27758677.0,13445932.0,10.0,0.0,10,SAT,
8,randomPN_32.lp,49.387,2587.0,64982.0,10.0,2586.0,30053185.0,14498174.0,10.0,0.0,10,SAT,
8,randomPN_33.lp,61.887,3838.0,130355.0,16.0,3833.0,37256454.0,18083230.0,10.0,0.0,10,SAT,
8,randomPN_34.lp,62.73,2481.0,71401.0,11.0,2476.0,39255410.0,19059610.0,10.0,0.0,10,SAT,
8,randomPN_35.lp,64.025,4474.0,129325.0,19.0,4464.0,38857592.0,18847720.0,10.0,0.0,10,SAT,
8,randomPN_36.lp,29.619,1779.0,13585.0,7.0,1773.0,18875577.0,9106299.0,10.0,0.0,10,SAT,
8,randomPN_37.lp,66.183,5431.0,111876.0,25.0,5431.0,39820993.0,19390833.0,10.0,0.0,10,SAT,
8,randomPN_38.lp,48.978,2923.0,32465.0,9.0,2888.0,30282211.0,14607576.0,10.0,0.0,10,SAT,
8,randomPN_39.lp,67.222,10386.0,287987.0,46.0,10369.0,35908895.0,17380868.0,10.0,0.0,10,SAT,
8,randomPN_4.lp,45.684,1896.0,13292.0,8.0,1863.0,28034407.0,13442598.0,10.0,0.0,10,SAT,
8,randomPN_40.lp,63.123,7073.0,475094.0,32.0,7068.0,33460856.0,16126904.0,10.0,0.0,10,SAT,
8,randomPN_41.lp,35.751,4728.0,140404.0,17.0,4725.0,20944426.0,10022562.0,10.0,0.0,10,SAT,
