Count,Filename,Execution Time (s),Conflicts,Choices,Restarts,Backjumps,Rules,Atoms,Models,Eliminated Vars,Horizon,Status,FailPhase
18,randomPN_0.lp,15.48,616.0,3538.0,1.0,612.0,10612845.0,5131052.0,10.0,0.0,10,SAT,
18,randomPN_1.lp,17.906,427.0,2030.0,0.0,425.0,11758599.0,5691112.0,10.0,0.0,10,SAT,
18,randomPN_10.lp,23.01,891.0,7096.0,4.0,891.0,14947868.0,7223776.0,10.0,0.0,10,SAT,
18,randomPN_11.lp,19.626,661.0,8624.0,2.0,657.0,12792246.0,6169949.0,10.0,0.0,10,SAT,
18,randomPN_12.lp,15.839,1242.0,11779.0,5.0,1241.0,10634327.0,5129716.0,10.0,0.0,10,SAT,
18,randomPN_13.lp,16.151,404.0,3221.0,0.0,395.0,10555207.0,5097503.0,10.0,0.0,10,SAT,
18,randomPN_14.lp,14.483,291.0,1842.0,0.0,291.0,9772684.0,4726807.0,10.0,0.0,10,SAT,
18,randomPN_15.lp,21.564,54.0,196.0,0.0,54.0,14513232.0,7018739.0,1.0,0.0,10,SAT,
18,randomPN_16.lp,16.041,451.0,2263.0,1.0,444.0,10942764.0,5294306.0,10.0,0.0,10,SAT,
18,randomPN_17.lp,19.48,430.0,2268.0,0.0,423.0,13168220.0,6369685.0,10.0,0.0,10,SAT,
18,randomPN_18.lp,15.031,504.0,3531.0,2.0,499.0,10223813.0,4949126.0,10.0,0.0,10,SAT,
18,randomPN_19.lp,17.798,683.0,7206.0,2.0,678.0,11541295.0,5573790.0,10.0,0.0,10,SAT,
18,randomPN_2.lp,15.072,1377.0,11722.0,6.0,1373.0,10395523.0,5022529.0,10.0,0.0,10,SAT,
18,randomPN_20.lp,22.116,1335.0,15834.0,4.0,1323.0,14627583.0,7064077.0,10.0,0.0,10,SAT,
18,randomPN_21.lp,14.429,1589.0,17861.0,8.0,1583.0,9647239.0,4651073.0,10.0,0.0,10,SAT,
18,randomPN_22.lp,15.719,872.0,3834.0,2.0,862.0,10627853.0,5130856.0,10.0,0.0,10,SAT,
18,randomPN_23.lp,13.019,1080.0,10263.0,3.0,1061.0,8766675.0,4213088.0,10.0,0.0,10,SAT,
18,randomPN_24.lp,18.429,797.0,5987.0,3.0,789.0,11973546.0,5773068.0,10.0,0.0,10,SAT,
18,randomPN_25.lp,12.86,904.0,6401.0,3.0,899.0,8745257.0,4209832.0,10.0,0.0,10,SAT,
18,randomPN_26.lp,19.258,401.0,2408.0,0.0,375.0,12930073.0,6259003.0,10.0,0.0,10,SAT,
18,randomPN_27.lp,14.315,1316.0,13664.0,6.0,1295.0,9510879.0,4575362.0,10.0,0.0,10,SAT,
18,randomPN_28.lp,19.158,619.0,7272.0,2.0,618.0,11757746.0,5664594.0,10.0,0.0,10,SAT,
18,randomPN_29.lp,18.384,666.0,5202.0,2.0,663.0,12185437.0,5884623.0,10.0,0.0,10,SAT,
18,randomPN_3.lp,20.61,1680.0,20174.0,9.0,1680.0,13841540.0,6659931.0,10.0,0.0,10,SAT,
18,randomPN_30.lp,21.432,1031.0,15787.0,4.0,1031.0,14619936.0,7068408.0,10.0,0.0,10,SAT,
18,randomPN_31.lp,15.553,798.0,7057.0,1.0,793.0,10396772.0,4999210.0,10.0,0.0,10,SAT,
18,randomPN_32.lp,17.742,582.0,4442.0,3.0,582.0,11677072.0,5643405.0,10.0,0.0,10,SAT,
18,randomPN_33.lp,17.983,647.0,4420.0,3.0,646.0,12058922.0,5815573.0,10.0,0.0,10,SAT,
18,randomPN_34.lp,23.989,389.0,2117.0,0.0,380.0,15975161.0,7701014.0,10.0,0.0,10,SAT,
18,randomPN_35.lp,17.785,760.0,12951.0,2.0,755.0,11505806.0,5552903.0,10.0,0.0,10,SAT,
18,randomPN_36.lp,14.395,931.0,7030.0,4.0,930.0,9887292.0,4776272.0,10.0,0.0,10,SAT,
18,randomPN_37.lp,18.957,631.0,2664.0,2.0,629.0,12825121.0,6218479.0,10.0,0.0,10,SAT,
18,randomPN_38.lp,13.985,1119.0,8877.0,5.0,1118.0,9499121.0,4573913.0,10.0,0.0,10,SAT,
18,randomPN_39.lp,23.746,940.0,12883.0,3.0,936.0,14262185.0,6897467.0,10.0,0.0,10,SAT,
18,randomPN_4.lp,18.668,808.0,9550.0,3.0,769.0,12406197.0,6000030.0,10.0,0.0,10,SAT,
18,randomPN_40.lp,17.6,1078.0,6805.0,5.0,1075.0,11811878.0,5722897.0,10.0,0.0,10,SAT,
18,randomPN_41.lp,23.053,866.0,6361.0,5.0,862.0,16014524.0,7739989.0,10.0,0.0,10,SAT,
18,randomPN_42.lp,19.472,627.0,2128.0,2.0,612.0,12913239.0,6247212.0,8.0,0.0,10,SAT,
18,randomPN_43.lp,18.874,660.0,5299.0,3.0,658.0,12530976.0,6060888.0,10.0,0.0,10,SAT,
18,randomPN_44.lp,19.368,800.0,8190.0,4.0,796.0,13066293.0,6301332.0,10.0,0.0,10,SAT,
18,randomPN_45.lp,12.465,1314.0,14142.0,6.0,1314.0,8328459.0,4026472.0,10.0,0.0,10,SAT,
18,randomPN_46.lp,18.775,983.0,8168.0,4.0,975.0,12135632.0,5853356.0,10.0,0.0,10,SAT,
18,randomPN_47.lp,17.462,0.0,0.0,0.0,0.0,11330273.0,5499177.0,1.0,0.0,10,SAT,
18,randomPN_48.lp,14.541,493.0,3486.0,1.0,490.0,10023981.0,4849839.0,10.0,0.0,10,SAT,
18,randomPN_49.lp,13.497,1097.0,7317.0,5.0,1093.0,9050736.0,4373362.0,10.0,0.0,10,SAT,
18,randomPN_5.lp,27.91,303.0,2149.0,0.0,300.0,19346421.0,9355035.0,10.0,0.0,10,SAT,
18,randomPN_6.lp,19.488,952.0,12980.0,4.0,943.0,13107921.0,6337669.0,10.0,0.0,10,SAT,
18,randomPN_7.lp,22.027,614.0,4062.0,3.0,612.0,14540613.0,6999456.0,10.0,0.0,10,SAT,
18,randomPN_8.lp,18.232,1049.0,8315.0,3.0,1047.0,11714079.0,5667598.0,10.0,0.0,10,SAT,
18,randomPN_9.lp,15.046,528.0,2600.0,1.0,527.0,10431711.0,5041640.0,10.0,0.0,10,SAT,
