Filename,Places,Transitions,ptarcs,tparcs,In_Degree,Out_Degree,Rules_set_Active,Tokens,Bonds,Max_bond_degree,Mean_bond_degree,Sd_bond_degree,Tokens_Initial,Initial_Bonds,bonds_created,bonds_destroyed,Bond_Arcs
/Users/eleftheriakouppari/Desktop/PHD/CURRENT/CODE/PhD-RPN-ASP/RandomPetriNetsGenerator/RESULTS_full/places_to_stop/10/r1_r2_r3_r4_r5/bonds/token_types_4/randomPN_0.lp,10,7,8,9,0.9,0.8,"{'R1': 1, 'R2': 2, 'R3': 3, 'R4': 2, 'R5': 0, 'R6': 0, 'R7': 0, 'R8': 0, 'R9': 0}",4,1,2.0,2.0,0.0,4.0,1.0,0.0,0.0,2.0
/Users/eleftheriakouppari/Desktop/PHD/CURRENT/CODE/PhD-RPN-ASP/RandomPetriNetsGenerator/RESULTS_full/places_to_stop/10/r1_r2_r3_r4_r5/bonds/token_types_4/randomPN_1.lp,10,9,12,21,2.1,1.2,"{'R1': 1, 'R2': 1, 'R3': 2, 'R4': 4, 'R5': 4, 'R6': 0, 'R7': 0, 'R8': 0, 'R9': 0}",4,1,2.0,2.0,0.0,4.0,1.0,0.0,0.0,4.0
/Users/eleftheriakouppari/Desktop/PHD/CURRENT/CODE/PhD-RPN-ASP/RandomPetriNetsGenerator/RESULTS_full/places_to_stop/10/r1_r2_r3_r4_r5/bonds/token_types_4/randomPN_10.lp,10,8,10,10,1.0,1.0,"{'R1': 2, 'R2': 1, 'R3': 3, 'R4': 2, 'R5': 1, 'R6': 0, 'R7': 0, 'R8': 0, 'R9': 0}",4,2,2.0,2.0,0.0,4.0,2.0,1.0,0.0,5.0
/Users/eleftheriakouppari/Desktop/PHD/CURRENT/CODE/PhD-RPN-ASP/RandomPetriNetsGenerator/RESULTS_full/places_to_stop/10/r1_r2_r3_r4_r5/bonds/token_types_4/randomPN_11.lp,10,11,14,16,1.6,1.4,"{'R1': 0, 'R2': 3, 'R3': 3, 'R4': 2, 'R5': 4, 'R6': 0, 'R7': 0, 'R8': 0, 'R9': 0}",4,1,2.0,2.0,0.0,4.0,1.0,0.0,0.0,2.0
/Users/eleftheriakouppari/Desktop/PHD/CURRENT/CODE/PhD-RPN-ASP/RandomPetriNetsGenerator/RESULTS_full/places_to_stop/10/r1_r2_r3_r4_r5/bonds/token_types_4/randomPN_12.lp,10,9,9,9,0.9,0.9,"{'R1': 2, 'R2': 2, 'R3': 4, 'R4': 0, 'R5': 0, 'R6': 0, 'R7': 0, 'R8': 0, 'R9': 0}",4,1,2.0,2.0,0.0,4.0,1.0,0.0,0.0,2.0
/Users/eleftheriakouppari/Desktop/PHD/CURRENT/CODE/PhD-RPN-ASP/RandomPetriNetsGenerator/RESULTS_full/places_to_stop/10/r1_r2_r3_r4_r5/bonds/token_types_4/randomPN_13.lp,10,9,10,13,1.3,1.0,"{'R1': 0, 'R2': 4, 'R3': 2, 'R4': 2, 'R5': 2, 'R6': 0, 'R7': 0, 'R8': 0, 'R9': 0}",4,1,2.0,2.0,0.0,4.0,1.0,2.0,0.0,6.0
/Users/eleftheriakouppari/Desktop/PHD/CURRENT/CODE/PhD-RPN-ASP/RandomPetriNetsGenerator/RESULTS_full/places_to_stop/10/r1_r2_r3_r4_r5/bonds/token_types_4/randomPN_14.lp,10,8,9,10,1.0,0.9,"{'R1': 1, 'R2': 2, 'R3': 3, 'R4': 2, 'R5': 1, 'R6': 0, 'R7': 0, 'R8': 0, 'R9': 0}",4,1,2.0,2.0,0.0,4.0,1.0,2.0,0.0,6.0
/Users/eleftheriakouppari/Desktop/PHD/CURRENT/CODE/PhD-RPN-ASP/RandomPetriNetsGenerator/RESULTS_full/places_to_stop/10/r1_r2_r3_r4_r5/bonds/token_types_4/randomPN_15.lp,10,9,13,13,1.3,1.3,"{'R1': 0, 'R2': 4, 'R3': 2, 'R4': 2, 'R5': 2, 'R6': 0, 'R7': 0, 'R8': 0, 'R9': 0}",4,3,3.0,2.1666666666666665,0.408248290463863,4.0,3.0,1.0,0.0,7.0
/Users/eleftheriakouppari/Desktop/PHD/CURRENT/CODE/PhD-RPN-ASP/RandomPetriNetsGenerator/RESULTS_full/places_to_stop/10/r1_r2_r3_r4_r5/bonds/token_types_4/randomPN_16.lp,10,8,8,9,0.9,0.8,"{'R1': 2, 'R2': 1, 'R3': 4, 'R4': 1, 'R5': 0, 'R6': 0, 'R7': 0, 'R8': 0, 'R9': 0}",4,1,2.0,2.0,0.0,4.0,1.0,0.0,0.0,2.0
/Users/eleftheriakouppari/Desktop/PHD/CURRENT/CODE/PhD-RPN-ASP/RandomPetriNetsGenerator/RESULTS_full/places_to_stop/10/r1_r2_r3_r4_r5/bonds/token_types_4/randomPN_17.lp,10,7,7,10,1.0,0.7,"{'R1': 1, 'R2': 2, 'R3': 2, 'R4': 3, 'R5': 1, 'R6': 0, 'R7': 0, 'R8': 0, 'R9': 0}",4,1,3.0,2.5,0.7071067811865476,4.0,1.0,1.0,0.0,3.0
