Filename,Places,Transitions,ptarcs,tparcs,In_Degree,Out_Degree,Rules_set_Active,Tokens,Bonds,Max_bond_degree,Mean_bond_degree,Sd_bond_degree,Tokens_Initial,Initial_Bonds,bonds_created,bonds_destroyed,Bond_Arcs
/Users/eleftheriakouppari/Desktop/PHD/CURRENT/CODE/PhD-RPN-ASP/RandomPetriNetsGenerator/RESULTS_full/places_to_stop/10/r1_r2_r3_r4_r5_r6_r7_r8_r9/bonds/token_types_16/randomPN_0.lp,10,11,13,19,1.9,1.3,"{'R1': 2, 'R2': 3, 'R3': 0, 'R4': 2, 'R5': 2, 'R6': 1, 'R7': 1, 'R8': 2, 'R9': 1}",16,1,3.0,2.1666666666666665,0.408248290463863,16.0,1.0,5.0,0.0,7.0
/Users/eleftheriakouppari/Desktop/PHD/CURRENT/CODE/PhD-RPN-ASP/RandomPetriNetsGenerator/RESULTS_full/places_to_stop/10/r1_r2_r3_r4_r5_r6_r7_r8_r9/bonds/token_types_16/randomPN_1.lp,10,12,16,18,1.8,1.6,"{'R1': 2, 'R2': 2, 'R3': 1, 'R4': 3, 'R5': 2, 'R6': 1, 'R7': 0, 'R8': 3, 'R9': 2}",16,5,2.0,2.0,0.0,16.0,5.0,1.0,0.0,11.0
/Users/eleftheriakouppari/Desktop/PHD/CURRENT/CODE/PhD-RPN-ASP/RandomPetriNetsGenerator/RESULTS_full/places_to_stop/10/r1_r2_r3_r4_r5_r6_r7_r8_r9/bonds/token_types_16/randomPN_10.lp,10,10,14,14,1.4,1.4,"{'R1': 0, 'R2': 2, 'R3': 2, 'R4': 0, 'R5': 2, 'R6': 2, 'R7': 4, 'R8': 1, 'R9': 0}",16,3,3.0,2.1666666666666665,0.408248290463863,16.0,3.0,1.0,0.0,7.0
/Users/eleftheriakouppari/Desktop/PHD/CURRENT/CODE/PhD-RPN-ASP/RandomPetriNetsGenerator/RESULTS_full/places_to_stop/10/r1_r2_r3_r4_r5_r6_r7_r8_r9/bonds/token_types_16/randomPN_11.lp,10,9,11,13,1.3,1.1,"{'R1': 4, 'R2': 2, 'R3': 0, 'R4': 2, 'R5': 1, 'R6': 1, 'R7': 0, 'R8': 0, 'R9': 1}",16,3,2.0,2.0,0.0,16.0,3.0,2.0,0.0,8.0
/Users/eleftheriakouppari/Desktop/PHD/CURRENT/CODE/PhD-RPN-ASP/RandomPetriNetsGenerator/RESULTS_full/places_to_stop/10/r1_r2_r3_r4_r5_r6_r7_r8_r9/bonds/token_types_16/randomPN_12.lp,10,10,12,16,1.6,1.2,"{'R1': 1, 'R2': 1, 'R3': 3, 'R4': 3, 'R5': 2, 'R6': 2, 'R7': 0, 'R8': 0, 'R9': 1}",16,3,3.0,2.111111111111111,0.3333333333333333,16.0,3.0,2.0,0.0,10.0
/Users/eleftheriakouppari/Desktop/PHD/CURRENT/CODE/PhD-RPN-ASP/RandomPetriNetsGenerator/RESULTS_full/places_to_stop/10/r1_r2_r3_r4_r5_r6_r7_r8_r9/bonds/token_types_16/randomPN_13.lp,10,12,13,14,1.4,1.3,"{'R1': 1, 'R2': 3, 'R3': 3, 'R4': 0, 'R5': 2, 'R6': 1, 'R7': 1, 'R8': 1, 'R9': 1}",16,1,2.0,2.0,0.0,16.0,1.0,0.0,0.0,2.0
/Users/eleftheriakouppari/Desktop/PHD/CURRENT/CODE/PhD-RPN-ASP/RandomPetriNetsGenerator/RESULTS_full/places_to_stop/10/r1_r2_r3_r4_r5_r6_r7_r8_r9/bonds/token_types_16/randomPN_14.lp,10,14,15,15,1.5,1.5,"{'R1': 2, 'R2': 4, 'R3': 1, 'R4': 0, 'R5': 1, 'R6': 3, 'R7': 1, 'R8': 2, 'R9': 0}",16,1,2.0,2.0,0.0,16.0,1.0,0.0,0.0,2.0
/Users/eleftheriakouppari/Desktop/PHD/CURRENT/CODE/PhD-RPN-ASP/RandomPetriNetsGenerator/RESULTS_full/places_to_stop/10/r1_r2_r3_r4_r5_r6_r7_r8_r9/bonds/token_types_16/randomPN_15.lp,10,14,14,17,1.7,1.4,"{'R1': 3, 'R2': 2, 'R3': 2, 'R4': 1, 'R5': 3, 'R6': 3, 'R7': 0, 'R8': 0, 'R9': 0}",16,3,3.0,2.1666666666666665,0.408248290463863,16.0,3.0,1.0,0.0,7.0
/Users/eleftheriakouppari/Desktop/PHD/CURRENT/CODE/PhD-RPN-ASP/RandomPetriNetsGenerator/RESULTS_full/places_to_stop/10/r1_r2_r3_r4_r5_r6_r7_r8_r9/bonds/token_types_16/randomPN_16.lp,10,12,16,21,2.1,1.6,"{'R1': 1, 'R2': 1, 'R3': 3, 'R4': 2, 'R5': 5, 'R6': 0, 'R7': 1, 'R8': 1, 'R9': 0}",16,1,2.0,2.0,0.0,16.0,1.0,1.0,0.0,3.0
/Users/eleftheriakouppari/Desktop/PHD/CURRENT/CODE/PhD-RPN-ASP/RandomPetriNetsGenerator/RESULTS_full/places_to_stop/10/r1_r2_r3_r4_r5_r6_r7_r8_r9/bonds/token_types_16/randomPN_17.lp,10,11,14,19,1.9,1.4,"{'R1': 2, 'R2': 2, 'R3': 1, 'R4': 3, 'R5': 1, 'R6': 1, 'R7': 0, 'R8': 3, 'R9': 1}",16,1,2.0,2.0,0.0,16.0,1.0,0.0,0.0,2.0
