Filename,Places,Transitions,ptarcs,tparcs,In_Degree,Out_Degree,Rules_set_Active,Tokens,Bonds,Max_bond_degree,Mean_bond_degree,Sd_bond_degree,Tokens_Initial,Initial_Bonds,bonds_created,bonds_destroyed,Bond_Arcs
/Users/eleftheriakouppari/Desktop/PHD/CURRENT/CODE/PhD-RPN-ASP/RandomPetriNetsGenerator/RESULTS_full/places_to_stop/10/r1_r2_r3_r4_r5/bonds/token_types_16/randomPN_0.lp,10,10,10,16,1.6,1.0,"{'R1': 2, 'R2': 3, 'R3': 1, 'R4': 2, 'R5': 3, 'R6': 0, 'R7': 0, 'R8': 0, 'R9': 0}",16,2,2.0,2.0,0.0,16.0,2.0,0.0,0.0,4.0
/Users/eleftheriakouppari/Desktop/PHD/CURRENT/CODE/PhD-RPN-ASP/RandomPetriNetsGenerator/RESULTS_full/places_to_stop/10/r1_r2_r3_r4_r5/bonds/token_types_16/randomPN_1.lp,10,8,8,11,1.1,0.8,"{'R1': 1, 'R2': 3, 'R3': 2, 'R4': 2, 'R5': 1, 'R6': 0, 'R7': 0, 'R8': 0, 'R9': 0}",16,1,2.0,2.0,0.0,16.0,1.0,1.0,0.0,3.0
/Users/eleftheriakouppari/Desktop/PHD/CURRENT/CODE/PhD-RPN-ASP/RandomPetriNetsGenerator/RESULTS_full/places_to_stop/10/r1_r2_r3_r4_r5/bonds/token_types_16/randomPN_10.lp,10,9,9,10,1.0,0.9,"{'R1': 2, 'R2': 0, 'R3': 5, 'R4': 1, 'R5': 1, 'R6': 0, 'R7': 0, 'R8': 0, 'R9': 0}",16,1,2.0,2.0,0.0,16.0,1.0,0.0,0.0,2.0
/Users/eleftheriakouppari/Desktop/PHD/CURRENT/CODE/PhD-RPN-ASP/RandomPetriNetsGenerator/RESULTS_full/places_to_stop/10/r1_r2_r3_r4_r5/bonds/token_types_16/randomPN_11.lp,10,8,9,11,1.1,0.9,"{'R1': 3, 'R2': 0, 'R3': 3, 'R4': 2, 'R5': 1, 'R6': 0, 'R7': 0, 'R8': 0, 'R9': 0}",16,2,2.0,2.0,0.0,16.0,2.0,0.0,0.0,4.0
/Users/eleftheriakouppari/Desktop/PHD/CURRENT/CODE/PhD-RPN-ASP/RandomPetriNetsGenerator/RESULTS_full/places_to_stop/10/r1_r2_r3_r4_r5/bonds/token_types_16/randomPN_12.lp,10,14,14,14,1.4,1.4,"{'R1': 3, 'R2': 3, 'R3': 2, 'R4': 0, 'R5': 5, 'R6': 0, 'R7': 0, 'R8': 0, 'R9': 0}",16,1,2.0,2.0,0.0,16.0,1.0,0.0,0.0,2.0
/Users/eleftheriakouppari/Desktop/PHD/CURRENT/CODE/PhD-RPN-ASP/RandomPetriNetsGenerator/RESULTS_full/places_to_stop/10/r1_r2_r3_r4_r5/bonds/token_types_16/randomPN_13.lp,10,10,14,15,1.5,1.4,"{'R1': 1, 'R2': 0, 'R3': 4, 'R4': 3, 'R5': 4, 'R6': 0, 'R7': 0, 'R8': 0, 'R9': 0}",16,3,2.0,2.0,0.0,16.0,3.0,3.0,0.0,9.0
/Users/eleftheriakouppari/Desktop/PHD/CURRENT/CODE/PhD-RPN-ASP/RandomPetriNetsGenerator/RESULTS_full/places_to_stop/10/r1_r2_r3_r4_r5/bonds/token_types_16/randomPN_14.lp,10,9,10,10,1.0,1.0,"{'R1': 3, 'R2': 2, 'R3': 2, 'R4': 1, 'R5': 1, 'R6': 0, 'R7': 0, 'R8': 0, 'R9': 0}",16,1,2.0,2.0,0.0,16.0,1.0,0.0,0.0,4.0
/Users/eleftheriakouppari/Desktop/PHD/CURRENT/CODE/PhD-RPN-ASP/RandomPetriNetsGenerator/RESULTS_full/places_to_stop/10/r1_r2_r3_r4_r5/bonds/token_types_16/randomPN_15.lp,10,13,13,13,1.3,1.3,"{'R1': 1, 'R2': 3, 'R3': 4, 'R4': 0, 'R5': 4, 'R6': 0, 'R7': 0, 'R8': 0, 'R9': 0}",16,1,2.0,2.0,0.0,16.0,1.0,0.0,0.0,2.0
/Users/eleftheriakouppari/Desktop/PHD/CURRENT/CODE/PhD-RPN-ASP/RandomPetriNetsGenerator/RESULTS_full/places_to_stop/10/r1_r2_r3_r4_r5/bonds/token_types_16/randomPN_16.lp,10,9,11,12,1.2,1.1,"{'R1': 0, 'R2': 2, 'R3': 4, 'R4': 2, 'R5': 2, 'R6': 0, 'R7': 0, 'R8': 0, 'R9': 0}",16,3,3.0,2.1666666666666665,0.408248290463863,16.0,3.0,1.0,0.0,7.0
/Users/eleftheriakouppari/Desktop/PHD/CURRENT/CODE/PhD-RPN-ASP/RandomPetriNetsGenerator/RESULTS_full/places_to_stop/10/r1_r2_r3_r4_r5/bonds/token_types_16/randomPN_17.lp,10,5,6,12,1.2,0.6,"{'R1': 1, 'R2': 2, 'R3': 0, 'R4': 5, 'R5': 1, 'R6': 0, 'R7': 0, 'R8': 0, 'R9': 0}",16,1,3.0,2.25,0.5,16.0,1.0,3.0,0.0,5.0
/Users/eleftheriakouppari/Desktop/PHD/CURRENT/CODE/PhD-RPN-ASP/RandomPetriNetsGenerator/RESULTS_full/places_to_stop/10/r1_r2_r3_r4_r5/bonds/token_types_16/randomPN_18.lp,10,9,10,11,1.1,1.0,"{'R1': 1, 'R2': 2, 'R3': 3, 'R4': 2, 'R5': 2, 'R6': 0, 'R7': 0, 'R8': 0, 'R9': 0}",16,2,2.0,2.0,0.0,16.0,2.0,0.0,0.0,4.0
/Users/eleftheriakouppari/Desktop/PHD/CURRENT/CODE/PhD-RPN-ASP/RandomPetriNetsGenerator/RESULTS_full/places_to_stop/10/r1_r2_r3_r4_r5/bonds/token_types_16/randomPN_19.lp,10,11,11,11,1.1,1.1,"{'R1': 4, 'R2': 2, 'R3': 2, 'R4': 0, 'R5': 2, 'R6': 0, 'R7': 0, 'R8': 0, 'R9': 0}",16,1,2.0,2.0,0.0,16.0,1.0,0.0,0.0,2.0
/Users/eleftheriakouppari/Desktop/PHD/CURRENT/CODE/PhD-RPN-ASP/RandomPetriNetsGenerator/RESULTS_full/places_to_stop/10/r1_r2_r3_r4_r5/bonds/token_types_16/randomPN_2.lp,10,8,10,10,1.0,1.0,"{'R1': 1, 'R2': 1, 'R3': 4, 'R4': 2, 'R5': 1, 'R6': 0, 'R7': 0, 'R8': 0, 'R9': 0}",16,1,2.0,2.0,0.0,16.0,1.0,1.0,0.0,3.0
/Users/eleftheriakouppari/Desktop/PHD/CURRENT/CODE/PhD-RPN-ASP/RandomPetriNetsGenerator/RESULTS_full/places_to_stop/10/r1_r2_r3_r4_r5/bonds/token_types_16/randomPN_20.lp,10,7,11,11,1.1,1.1,"{'R1': 4, 'R2': 1, 'R3': 0, 'R4': 3, 'R5': 1, 'R6': 0, 'R7': 0, 'R8': 0, 'R9': 0}",16,3,3.0,2.142857142857143,0.3779644730092272,16.0,3.0,2.0,0.0,8.0
/Users/eleftheriakouppari/Desktop/PHD/CURRENT/CODE/PhD-RPN-ASP/RandomPetriNetsGenerator/RESULTS_full/places_to_stop/10/r1_r2_r3_r4_r5/bonds/token_types_16/randomPN_21.lp,10,10,10,10,1.0,1.0,"{'R1': 3, 'R2': 3, 'R3': 2, 'R4': 0, 'R5': 1, 'R6': 0, 'R7': 0, 'R8': 0, 'R9': 0}",16,1,2.0,2.0,0.0,16.0,1.0,0.0,0.0,2.0
/Users/eleftheriakouppari/Desktop/PHD/CURRENT/CODE/PhD-RPN-ASP/RandomPetriNetsGenerator/RESULTS_full/places_to_stop/10/r1_r2_r3_r4_r5/bonds/token_types_16/randomPN_22.lp,10,8,10,12,1.2,1.0,"{'R1': 0, 'R2': 1, 'R3': 4, 'R4': 3, 'R5': 2, 'R6': 0, 'R7': 0, 'R8': 0, 'R9': 0}",16,5,2.0,2.0,0.0,16.0,5.0,0.0,0.0,10.0
/Users/eleftheriakouppari/Desktop/PHD/CURRENT/CODE/PhD-RPN-ASP/RandomPetriNetsGenerator/RESULTS_full/places_to_stop/10/r1_r2_r3_r4_r5/bonds/token_types_16/randomPN_23.lp,10,10,10,10,1.0,1.0,"{'R1': 2, 'R2': 1, 'R3': 5, 'R4': 0, 'R5': 1, 'R6': 0, 'R7': 0, 'R8': 0, 'R9': 0}",16,1,2.0,2.0,0.0,16.0,1.0,0.0,0.0,2.0
/Users/eleftheriakouppari/Desktop/PHD/CURRENT/CODE/PhD-RPN-ASP/RandomPetriNetsGenerator/RESULTS_full/places_to_stop/10/r1_r2_r3_r4_r5/bonds/token_types_16/randomPN_24.lp,10,7,8,12,1.2,0.8,"{'R1': 1, 'R2': 2, 'R3': 2, 'R4': 3, 'R5': 1, 'R6': 0, 'R7': 0, 'R8': 0, 'R9': 0}",16,1,2.0,2.0,0.0,16.0,1.0,1.0,0.0,3.0
/Users/eleftheriakouppari/Desktop/PHD/CURRENT/CODE/PhD-RPN-ASP/RandomPetriNetsGenerator/RESULTS_full/places_to_stop/10/r1_r2_r3_r4_r5/bonds/token_types_16/randomPN_25.lp,10,8,9,10,1.0,0.9,"{'R1': 0, 'R2': 4, 'R3': 2, 'R4': 2, 'R5': 1, 'R6': 0, 'R7': 0, 'R8': 0, 'R9': 0}",16,1,2.0,2.0,0.0,16.0,1.0,1.0,0.0,3.0
/Users/eleftheriakouppari/Desktop/PHD/CURRENT/CODE/PhD-RPN-ASP/RandomPetriNetsGenerator/RESULTS_full/places_to_stop/10/r1_r2_r3_r4_r5/bonds/token_types_16/randomPN_26.lp,10,9,9,10,1.0,0.9,"{'R1': 2, 'R2': 2, 'R3': 3, 'R4': 1, 'R5': 1, 'R6': 0, 'R7': 0, 'R8': 0, 'R9': 0}",16,1,2.0,2.0,0.0,16.0,1.0,0.0,0.0,2.0
/Users/eleftheriakouppari/Desktop/PHD/CURRENT/CODE/PhD-RPN-ASP/RandomPetriNetsGenerator/RESULTS_full/places_to_stop/10/r1_r2_r3_r4_r5/bonds/token_types_16/randomPN_27.lp,10,8,8,12,1.2,0.8,"{'R1': 1, 'R2': 2, 'R3': 3, 'R4': 2, 'R5': 1, 'R6': 0, 'R7': 0, 'R8': 0, 'R9': 0}",16,1,2.0,2.0,0.0,16.0,1.0,2.0,0.0,4.0
/Users/eleftheriakouppari/Desktop/PHD/CURRENT/CODE/PhD-RPN-ASP/RandomPetriNetsGenerator/RESULTS_full/places_to_stop/10/r1_r2_r3_r4_r5/bonds/token_types_16/randomPN_28.lp,10,8,9,15,1.5,0.9,"{'R1': 3, 'R2': 2, 'R3': 0, 'R4': 3, 'R5': 2, 'R6': 0, 'R7': 0, 'R8': 0, 'R9': 0}",16,4,2.0,2.0,0.0,16.0,4.0,2.0,0.0,12.0
/Users/eleftheriakouppari/Desktop/PHD/CURRENT/CODE/PhD-RPN-ASP/RandomPetriNetsGenerator/RESULTS_full/places_to_stop/10/r1_r2_r3_r4_r5/bonds/token_types_16/randomPN_29.lp,10,8,8,9,0.9,0.8,"{'R1': 3, 'R2': 2, 'R3': 2, 'R4': 1, 'R5': 0, 'R6': 0, 'R7': 0, 'R8': 0, 'R9': 0}",16,1,2.0,2.0,0.0,16.0,1.0,0.0,0.0,2.0
/Users/eleftheriakouppari/Desktop/PHD/CURRENT/CODE/PhD-RPN-ASP/RandomPetriNetsGenerator/RESULTS_full/places_to_stop/10/r1_r2_r3_r4_r5/bonds/token_types_16/randomPN_3.lp,10,6,7,9,0.9,0.7,"{'R1': 3, 'R2': 1, 'R3': 1, 'R4': 3, 'R5': 0, 'R6': 0, 'R7': 0, 'R8': 0, 'R9': 0}",16,1,2.0,2.0,0.0,16.0,1.0,2.0,0.0,4.0
/Users/eleftheriakouppari/Desktop/PHD/CURRENT/CODE/PhD-RPN-ASP/RandomPetriNetsGenerator/RESULTS_full/places_to_stop/10/r1_r2_r3_r4_r5/bonds/token_types_16/randomPN_30.lp,10,8,13,12,1.2,1.3,"{'R1': 0, 'R2': 0, 'R3': 5, 'R4': 3, 'R5': 2, 'R6': 0, 'R7': 0, 'R8': 0, 'R9': 0}",16,4,2.0,2.0,0.0,16.0,4.0,1.0,0.0,11.0
