Filename,Places,Transitions,ptarcs,tparcs,In_Degree,Out_Degree,Rules_set_Active,Tokens,Bonds,max_bond_arcs,Max_bond_degree,Mean_bond_degree,Sd_bond_degree,Tokens_Initial,Initial_Bonds,bonds_created,bonds_destroyed,Bond_Arcs
/Users/eleftheriakouppari/Desktop/PHD/CURRENT/CODE/PhD-RPN-ASP/RandomPetriNetsGenerator/RESULTS_full/places_to_stop/10/r1_r2_r3_r4_r5/no_bonds/token_types_10/randomPN_0.lp,10,8,11,11,1.1,1.1,"{'R1': 0, 'R2': 3, 'R3': 2, 'R4': 3, 'R5': 2, 'R6': 0, 'R7': 0, 'R8': 0, 'R9': 0}",10,0,0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0
/Users/eleftheriakouppari/Desktop/PHD/CURRENT/CODE/PhD-RPN-ASP/RandomPetriNetsGenerator/RESULTS_full/places_to_stop/10/r1_r2_r3_r4_r5/no_bonds/token_types_10/randomPN_1.lp,10,11,11,17,1.7,1.1,"{'R1': 0, 'R2': 4, 'R3': 2, 'R4': 2, 'R5': 4, 'R6': 0, 'R7': 0, 'R8': 0, 'R9': 0}",10,0,0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0
/Users/eleftheriakouppari/Desktop/PHD/CURRENT/CODE/PhD-RPN-ASP/RandomPetriNetsGenerator/RESULTS_full/places_to_stop/10/r1_r2_r3_r4_r5/no_bonds/token_types_10/randomPN_10.lp,10,9,11,10,1.0,1.1,"{'R1': 2, 'R2': 0, 'R3': 5, 'R4': 1, 'R5': 1, 'R6': 0, 'R7': 0, 'R8': 0, 'R9': 0}",10,0,0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0
/Users/eleftheriakouppari/Desktop/PHD/CURRENT/CODE/PhD-RPN-ASP/RandomPetriNetsGenerator/RESULTS_full/places_to_stop/10/r1_r2_r3_r4_r5/no_bonds/token_types_10/randomPN_11.lp,10,8,9,11,1.1,0.9,"{'R1': 2, 'R2': 2, 'R3': 2, 'R4': 2, 'R5': 1, 'R6': 0, 'R7': 0, 'R8': 0, 'R9': 0}",10,0,0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0
/Users/eleftheriakouppari/Desktop/PHD/CURRENT/CODE/PhD-RPN-ASP/RandomPetriNetsGenerator/RESULTS_full/places_to_stop/10/r1_r2_r3_r4_r5/no_bonds/token_types_10/randomPN_12.lp,10,7,9,9,0.9,0.9,"{'R1': 1, 'R2': 2, 'R3': 3, 'R4': 2, 'R5': 0, 'R6': 0, 'R7': 0, 'R8': 0, 'R9': 0}",10,0,0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0
/Users/eleftheriakouppari/Desktop/PHD/CURRENT/CODE/PhD-RPN-ASP/RandomPetriNetsGenerator/RESULTS_full/places_to_stop/10/r1_r2_r3_r4_r5/no_bonds/token_types_10/randomPN_13.lp,10,14,14,17,1.7,1.4,"{'R1': 3, 'R2': 2, 'R3': 2, 'R4': 1, 'R5': 6, 'R6': 0, 'R7': 0, 'R8': 0, 'R9': 0}",10,0,0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0
/Users/eleftheriakouppari/Desktop/PHD/CURRENT/CODE/PhD-RPN-ASP/RandomPetriNetsGenerator/RESULTS_full/places_to_stop/10/r1_r2_r3_r4_r5/no_bonds/token_types_10/randomPN_14.lp,10,12,12,12,1.2,1.2,"{'R1': 3, 'R2': 1, 'R3': 4, 'R4': 0, 'R5': 3, 'R6': 0, 'R7': 0, 'R8': 0, 'R9': 0}",10,0,0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0
/Users/eleftheriakouppari/Desktop/PHD/CURRENT/CODE/PhD-RPN-ASP/RandomPetriNetsGenerator/RESULTS_full/places_to_stop/10/r1_r2_r3_r4_r5/no_bonds/token_types_10/randomPN_15.lp,10,10,10,11,1.1,1.0,"{'R1': 3, 'R2': 1, 'R3': 3, 'R4': 1, 'R5': 2, 'R6': 0, 'R7': 0, 'R8': 0, 'R9': 0}",10,0,0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0
/Users/eleftheriakouppari/Desktop/PHD/CURRENT/CODE/PhD-RPN-ASP/RandomPetriNetsGenerator/RESULTS_full/places_to_stop/10/r1_r2_r3_r4_r5/no_bonds/token_types_10/randomPN_16.lp,10,10,11,11,1.1,1.1,"{'R1': 4, 'R2': 1, 'R3': 2, 'R4': 1, 'R5': 2, 'R6': 0, 'R7': 0, 'R8': 0, 'R9': 0}",10,0,0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0
/Users/eleftheriakouppari/Desktop/PHD/CURRENT/CODE/PhD-RPN-ASP/RandomPetriNetsGenerator/RESULTS_full/places_to_stop/10/r1_r2_r3_r4_r5/no_bonds/token_types_10/randomPN_17.lp,10,7,8,9,0.9,0.8,"{'R1': 3, 'R2': 0, 'R3': 3, 'R4': 2, 'R5': 0, 'R6': 0, 'R7': 0, 'R8': 0, 'R9': 0}",10,0,0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0
/Users/eleftheriakouppari/Desktop/PHD/CURRENT/CODE/PhD-RPN-ASP/RandomPetriNetsGenerator/RESULTS_full/places_to_stop/10/r1_r2_r3_r4_r5/no_bonds/token_types_10/randomPN_18.lp,10,11,11,14,1.4,1.1,"{'R1': 3, 'R2': 1, 'R3': 3, 'R4': 1, 'R5': 3, 'R6': 0, 'R7': 0, 'R8': 0, 'R9': 0}",10,0,0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0
