Filename,Places,Transitions,ptarcs,tparcs,In_Degree,Out_Degree,Rules_set_Active,Tokens,Bonds,max_bond_arcs,Max_bond_degree,Mean_bond_degree,Sd_bond_degree,Tokens_Initial,Initial_Bonds,bonds_created,bonds_destroyed,Bond_Arcs
/Users/eleftheriakouppari/Desktop/PHD/CURRENT/CODE/PhD-RPN-ASP/RandomPetriNetsGenerator/RESULTS_full/places_to_stop/10/r1_r2_r3_r4_r5_r6_r7_r8_r9/no_bonds/token_types_22/randomPN_0.lp,10,11,15,16,1.6,1.5,"{'R1': 0, 'R2': 2, 'R3': 3, 'R4': 1, 'R5': 1, 'R6': 0, 'R7': 2, 'R8': 4, 'R9': 3}",22,0,0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0
/Users/eleftheriakouppari/Desktop/PHD/CURRENT/CODE/PhD-RPN-ASP/RandomPetriNetsGenerator/RESULTS_full/places_to_stop/10/r1_r2_r3_r4_r5_r6_r7_r8_r9/no_bonds/token_types_22/randomPN_1.lp,10,10,12,15,1.5,1.2,"{'R1': 3, 'R2': 0, 'R3': 3, 'R4': 2, 'R5': 0, 'R6': 1, 'R7': 0, 'R8': 2, 'R9': 1}",22,0,0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0
/Users/eleftheriakouppari/Desktop/PHD/CURRENT/CODE/PhD-RPN-ASP/RandomPetriNetsGenerator/RESULTS_full/places_to_stop/10/r1_r2_r3_r4_r5_r6_r7_r8_r9/no_bonds/token_types_22/randomPN_10.lp,10,11,13,13,1.3,1.3,"{'R1': 3, 'R2': 1, 'R3': 3, 'R4': 1, 'R5': 1, 'R6': 1, 'R7': 0, 'R8': 1, 'R9': 0}",22,0,0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0
/Users/eleftheriakouppari/Desktop/PHD/CURRENT/CODE/PhD-RPN-ASP/RandomPetriNetsGenerator/RESULTS_full/places_to_stop/10/r1_r2_r3_r4_r5_r6_r7_r8_r9/no_bonds/token_types_22/randomPN_11.lp,10,11,11,14,1.4,1.1,"{'R1': 3, 'R2': 1, 'R3': 3, 'R4': 1, 'R5': 3, 'R6': 0, 'R7': 0, 'R8': 0, 'R9': 0}",22,0,0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0
/Users/eleftheriakouppari/Desktop/PHD/CURRENT/CODE/PhD-RPN-ASP/RandomPetriNetsGenerator/RESULTS_full/places_to_stop/10/r1_r2_r3_r4_r5_r6_r7_r8_r9/no_bonds/token_types_22/randomPN_12.lp,10,8,12,11,1.1,1.2,"{'R1': 1, 'R2': 3, 'R3': 1, 'R4': 1, 'R5': 0, 'R6': 0, 'R7': 2, 'R8': 2, 'R9': 1}",22,0,0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0
/Users/eleftheriakouppari/Desktop/PHD/CURRENT/CODE/PhD-RPN-ASP/RandomPetriNetsGenerator/RESULTS_full/places_to_stop/10/r1_r2_r3_r4_r5_r6_r7_r8_r9/no_bonds/token_types_22/randomPN_13.lp,10,11,18,15,1.5,1.8,"{'R1': 1, 'R2': 2, 'R3': 2, 'R4': 1, 'R5': 1, 'R6': 2, 'R7': 2, 'R8': 2, 'R9': 3}",22,0,0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0
/Users/eleftheriakouppari/Desktop/PHD/CURRENT/CODE/PhD-RPN-ASP/RandomPetriNetsGenerator/RESULTS_full/places_to_stop/10/r1_r2_r3_r4_r5_r6_r7_r8_r9/no_bonds/token_types_22/randomPN_14.lp,10,9,12,13,1.3,1.2,"{'R1': 1, 'R2': 3, 'R3': 1, 'R4': 2, 'R5': 0, 'R6': 1, 'R7': 1, 'R8': 2, 'R9': 0}",22,0,0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0
/Users/eleftheriakouppari/Desktop/PHD/CURRENT/CODE/PhD-RPN-ASP/RandomPetriNetsGenerator/RESULTS_full/places_to_stop/10/r1_r2_r3_r4_r5_r6_r7_r8_r9/no_bonds/token_types_22/randomPN_15.lp,10,11,12,12,1.2,1.2,"{'R1': 0, 'R2': 4, 'R3': 3, 'R4': 0, 'R5': 2, 'R6': 1, 'R7': 1, 'R8': 0, 'R9': 0}",22,0,0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0
/Users/eleftheriakouppari/Desktop/PHD/CURRENT/CODE/PhD-RPN-ASP/RandomPetriNetsGenerator/RESULTS_full/places_to_stop/10/r1_r2_r3_r4_r5_r6_r7_r8_r9/no_bonds/token_types_22/randomPN_16.lp,10,11,12,14,1.4,1.2,"{'R1': 1, 'R2': 3, 'R3': 3, 'R4': 1, 'R5': 2, 'R6': 0, 'R7': 0, 'R8': 1, 'R9': 1}",22,0,0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0
/Users/eleftheriakouppari/Desktop/PHD/CURRENT/CODE/PhD-RPN-ASP/RandomPetriNetsGenerator/RESULTS_full/places_to_stop/10/r1_r2_r3_r4_r5_r6_r7_r8_r9/no_bonds/token_types_22/randomPN_17.lp,10,10,12,16,1.6,1.2,"{'R1': 1, 'R2': 2, 'R3': 2, 'R4': 1, 'R5': 2, 'R6': 1, 'R7': 2, 'R8': 1, 'R9': 0}",22,0,0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0
